algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,domain,input_model,access_model,output_contract,time_complexity,space_complexity,confidence_score,source_count,source_quality,card_digest
AW-000022,Nivasch,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000022.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000022.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000022.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,random_access_string,one_witness,O(\mu + \lambda),O(\log\mu),65,2,HIGH,fcb85056775fa4bf
AW-000023,Insertion Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000023.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000023.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000023.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n^2),O(1),100,1,HIGH,799b861e17450ef2
AW-000024,Selection Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000024.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000024.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000024.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n^2),O(1),100,1,HIGH,fbc4376fdd612718
AW-000025,Merge Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000025.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000025.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000025.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n \log n),O(n),100,1,HIGH,f2f0be1fd55a0470
AW-000026,Bubble Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000026.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000026.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000026.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n^2),O(1),100,2,HIGH,9e8864ff5b7f06c3
AW-000027,Intro Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000027.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000027.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000027.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n \log n),O(\log n),100,3,HIGH,6f86bac683b9eaa4
AW-000028,Heap Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000028.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000028.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000028.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n \log n),O(1),100,2,HIGH,d9e3445775f8cd41
AW-000029,Counting Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000029.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000029.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000029.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n+k),O(n+k),100,1,HIGH,63ccec7a0564b153
AW-000030,Bucket Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000030.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000030.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000030.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n^2),O(n),100,1,HIGH,396116f5dd731ee4
AW-000031,Radix Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000031.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000031.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000031.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(wn),O(w+n),100,1,HIGH,8399d5774e649ab5
AW-000032,Naive Selection,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000032.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000032.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000032.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n \log n),O(1),60,1,HIGH,e3e9883f93e0564d
AW-000033,Hoare's Selection Algorithm (QuickSelect),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000033.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000033.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000033.context.evidence.yaml,sorting,explicit_sequence_problem,random_access_array,full_sequence_output,O(n^2),O(1),60,2,HIGH,ed9fc30768d0edba
AW-000035,Dynamic Programming Algorithm (S. S. Godbole),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000035.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000035.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000035.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,offline_batch_queries,full_solution,O(n^3),O(n^2),100,1,HIGH,7cb2858af69c12fe
AW-000036,Wagner and Fischer,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000036.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000036.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000036.context.evidence.yaml,string,explicit_string_problem,random_access_string,full_solution,O(mn),O(mn),100,2,HIGH,0ff723da3d80314a
AW-000037,Naive algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000037.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000037.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000037.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(1),100,1,HIGH,b89677e44204850f
AW-000038,Strassen's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000038.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000038.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000038.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,"O(n^{\log(7)/\log(2)}), approximately O(n^{2.807})",O(n^2),100,3,HIGH,64398db22570daba
AW-000039,Pan's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000039.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000039.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000039.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,"O(n^{\log(143640)/\log(70)}), approximately O(n^{2.795})",O(n^2),100,2,HIGH,ea1058983da19377
AW-000040,Romani's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000040.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000040.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000040.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^{2.51665}),O(n^2),100,3,HIGH,99321d55a0cba86b
AW-000041,Coppersmith–Winograd algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000041.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000041.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000041.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^{2.495548}),O(n^2),100,3,HIGH,084bf2a5eaf87a28
AW-000042,Strassen's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000042.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000042.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000042.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,"O(n^{\log(54)/\log(5)}), approximately O(n^{2.4785})",O(n^2),100,2,HIGH,9b385431b3bfbc87
AW-000043,Coppersmith–Winograd algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000043.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000043.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000043.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^{2.3755}),O(n^2),100,1,HIGH,ba6de5b56e060405
AW-000044,Vassilevska Williams,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000044.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000044.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000044.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^{2.372873}),O(n^2),100,1,HIGH,0c4c01c8f2c384d0
AW-000045,François Le Gall,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000045.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000045.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000045.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^{2.3728639}),O(n^2),100,3,HIGH,37f553c052ed1ce6
AW-000046,Brute-force search,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000046.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000046.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000046.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O((m+n) 3^n),O(n),100,1,HIGH,0b50ff53daadca17
AW-000047,Brute force,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000047.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000047.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000047.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O((m+n) 4^n),O(n),100,1,HIGH,b8ffabd9f9bdf685
AW-000048,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000048.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000048.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000048.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,538fcf2435a55599
AW-000049,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000049.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000049.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000049.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,538fcf2435a55599
AW-000050,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000050.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000050.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000050.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,538fcf2435a55599
AW-000051,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000051.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000051.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000051.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,538fcf2435a55599
AW-000052,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000052.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000052.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000052.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,538fcf2435a55599
AW-000053,Cholesky,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000053.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000053.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000053.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),100,1,HIGH,627f1770587fa37a
AW-000054,Aasen's method,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000054.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000054.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000054.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(n^2),70,3,HIGH,277a7644b0343b98
AW-000055,Levinson–Durbin recursion,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000055.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000055.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000055.context.evidence.yaml,numerical_analysis,explicit_numerical_problem,function_evaluation_oracle_classical,estimate,O(n^2),O(n^2),70,3,HIGH,faad41059046030e
AW-000056,Bareiss Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000056.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000056.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000056.context.evidence.yaml,numerical_analysis,explicit_numerical_problem,function_evaluation_oracle_classical,estimate,O(n^2),O(n^2),70,3,HIGH,b4b41f364b4698da
AW-000058,Naive,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000058.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000058.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000058.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,O(n^2),O(1),100,1,HIGH,b5dd53739f1707bd
AW-000059,Bentley–Ottmann algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000059.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000059.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000059.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,O(n \log n + k \log n),O(n),100,3,HIGH,f68bd7ae5360ff61
AW-000060,Kruskal’s algorithm with demand-sorting,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000060.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000060.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000060.context.evidence.yaml,graph,explicit_graph_problem,edge_list_input,path_or_tree,O(E \log V),O(E),100,3,HIGH,752e63ecdaad2a5f
AW-000061,Quick Kruskal algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000061.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000061.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000061.context.evidence.yaml,graph,explicit_graph_problem,edge_list_input,path_or_tree,O(E \log V),O(E),100,2,HIGH,2a8d0c6884e891a3
AW-000062,Karger Klein & Tarjan,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000062.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000062.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000062.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,"O(\min(V^2, E \log V))",O(E),100,1,HIGH,4a1b919129e5adae
AW-000064,Doolittle Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000064.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000064.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000064.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),\tilde{O}(1),100,1,HIGH,295987217414e97f
AW-000065,Crout algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000065.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000065.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000065.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),\tilde{O}(1),100,2,HIGH,dfaa17a8dd9aea78
AW-000066,Okunev Johnson,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000066.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000066.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000066.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^3),O(1),100,3,HIGH,c8f22e029c04d74b
AW-000067,A* Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000067.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000067.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000067.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,2,HIGH,b4aa15ebd6bd4fa0
AW-000068,Bidirectional A* Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000068.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000068.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000068.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^{(d/2)}),O(b^{d/2}),100,1,HIGH,2c2378edee33bb4f
AW-000069,Fringe Saving A* (FSA*),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000069.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000069.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000069.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,1,HIGH,8c486f5527b58703
AW-000070,Generalized Adaptive A* (GAA*),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000070.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000070.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000070.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,1,HIGH,ec221d23cf7da9ce
AW-000071,Iterative Deepening A* (IDA*),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000071.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000071.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000071.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,2,HIGH,84cedf4860180021
AW-000072,Jump Point Search (JPS),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000072.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000072.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000072.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,1,HIGH,de79f34c8b31401a
AW-000073,Lifelong Planning A* (LPA*),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000073.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000073.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000073.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(b^d),O(b^d),100,1,HIGH,64ed6a6d3fd82cc3
