algorithm_id,algorithm_name,reconstruction_decision,review_reasons,confidence_score
AW-000394,HEALPix mapping Wong,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000395,Maximum a Posteriori Occupancy Mapping,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000397,srba,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000417,Schöning,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000418,Hirsch,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000419,Johnson,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000420,Alon and Kahale,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000423,General number field sieve,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000437,Nested loop join,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000439,Hash join,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000462,Sattolo's algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000463,Buchberger's algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000468,Steinhaus–Johnson–Trotter algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000469,Tompkins–Paige algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000477,Levcopoulos Lingas Sack,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000486,Naive algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000487,Cooley–Tukey algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000488,Rader–Brenner algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000489,Bruun's FFT algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000495,Wang-Zhu-Cantor additive FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000496,Gao’s additive FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000533,False position method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000535,Secant method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000536,Ridder's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000537,Muller's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000538,Todd–Coxeter algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000539,Haselgrove-Leech-Trotter (HLT) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000541,Expectation–maximization (EM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000543,Parameter-expanded expectation maximization (PX-EM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000545,Generalized expectation maximization (GEM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000546,α-EM algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000547,Naive solution,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000548,Flajolet–Martin algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000549,LogLog algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000553,Chow's Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000554,"Linear Scan, Poletto & Sarkar",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000555,"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000556,Kong and Wilken Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000559,Naïve algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000560,Two-pass algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000561,Welford's Online algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000562,Weighted incremental algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000593,5-point star Cramer's rule,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000594,5-point Gauss elimination,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000595,5-point Gauss Seidel iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000596,5-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000597,5-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000598,9-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000599,9-point Tensor product,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000600,9-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000601,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000602,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000603,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000604,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000605,5-point star Cramer's rule,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000606,5-point Gauss elimination,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000607,5-point Gauss Seidel iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000608,5-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000609,5-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000610,9-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000611,9-point Tensor product,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000612,9-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000613,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000614,9-point ADI iteration + smooth guess,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000615,5-point cyclic reduction,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000616,9-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000631,Naive algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000632,Brute force algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000633,Schlimmer,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000634,Liu,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000635,Tradu Mirc,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000636,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000637,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000638,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000639,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000640,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000641,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000642,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000643,Räihä Manilla,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000644,Catriel Beeri Ronald Fagin John H. Howard,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000645,FCFS,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000647,SCAN,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000648,LOOK,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000649,C-SCAN,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000650,C-LOOK,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000665,A-Priori algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000666,The Algorithm of Park Chen and Yu (PCY),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000667,The Multistage Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000668,The Multihash Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000670,Discrete Cosine Transform,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000671,Maneva and M. J. Wainwright,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000672,Ciliberti Mézard,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000674,Matsunaga Yamamoto,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000675,Sun M. Shao J. Chen K. Wong and X. Wu,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000676,Miyake 2006,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000678,Jalali and T. Weissman,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000679,Jalali A. Montanari and T. Weissman,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000680,Korada and R. Urbanke,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000681,Schubert's algorithm/Kronecker's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000682,Berlekamp–Massey algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000683,Gale–Shapley algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000684,Irving's Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000685,Manlove Malley,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000686,Unsworth C. Prosser P,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000687,Gent I.P. Irving R.W. Manlove D.F. Prosser P. Smith B.M.,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000688,Patrick Posser,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000689,S. S. TSENG and R. C. T. LEE,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000690,"Tomas Feder, Nimrod Megiddoy, Serge A Plotki",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000701,Fellegi & Sunter Model,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000702,Gupta & Sarawagi CRF,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000703,Chen Ensembles of classifiers,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000704,EM Based Winkler,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000707,Ananthakrishna,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000714,Demand-Driven Register Allocation,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000718,Kleitman–Wang Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000723,BST Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000735,FLOATER 1997,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000736,PINKALL U. POLTHIER K 1993,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000737,FLOATER 2003,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000738,LEE Y. KIM H. S. LEE S 2002,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000742,HORMANN K. GREINER G 1999,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000745,ZAYER R. LÉVY B. SEIDEL H.-P. 2007,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000747,YAN J. Q. YANG X. SHI P. F 2006,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000748,ZAYER R. ROESSL C. SEIDEL H.-P 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000749,YOSHIZAWA S. BELYAEV A. G. SEIDEL H.-P 2004,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000751,YANG Y. KIM J. LUO F. HU S. GU X. 2008,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000752,BEN-CHEN M. GOTSMAN C. BUNIN G. 2008,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000754,Expectation-Maximization (EM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000756,Parameter-expanded expectation maximization (PX-EM),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000757,Expectation conditional maximization (ECM),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000758,Expectation conditional maximization either (ECME) (Liu Chuanhai Rubin Donald B),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000759,α-EM Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000760,Shaban Amirreza Mehrdad Farajtabar,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000766,Stratonovich,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000767,Stratonovich,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000777,"Vazirani (ILP, chapters 13-15)",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000778,"Vazirani (ILP, chapters 13-15)",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000784,The INDEGREE Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000785,The PAGERANK Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000787,The (Stochastic Approach for Link Structure Analysis) SALSA Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000789,PHITS Coheng Chan,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000790,Haveliwala,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000791,Jeh and Widom,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000792,Richardson and Domingos,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000793,Tomlin,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000794,Achlioptas,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000796,Chubby (Mike Burrows),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000797,Tushar Deepak Chandra and Sam Toueg,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000799,Branch and bound,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000823,Trial Multiplication,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000824,Baby-step Giant-step,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000825,Function Field Sieve (FFS),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
