algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,source_pass,merge_action,card_digest,access_model,confidence_score,domain,input_model,output_contract,saturation_status,second_pass_rule,source_count,source_quality,space_complexity,third_pass_rule,time_complexity
AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000014.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000014.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000014.context.evidence.yaml,v1,include,800443e7ab90d55b,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,2,HIGH,O(\Delta^2/\epsilon),,O(\Delta^2/\epsilon)
AW-000016,Lawrence Gibbs Sampling,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000016.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000016.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000016.context.evidence.yaml,v1,include,e8cf323c9de112e1,explicit_numeric_parameters,100,randomized_sampling,explicit_numerical_problem,approximation_solution,,,2,HIGH,O(n + m),,O(nm)
AW-000017,MotifSampler,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000017.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000017.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000017.context.evidence.yaml,v1,include,8f188b080ceb5431,random_access_string,65,string,explicit_string_problem,full_solution,,,2,HIGH,O(n + m),,O(nm)
AW-000018,tree-structured vector quantization Wei-Levoy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000018.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000018.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000018.context.evidence.yaml,v1,include,8d688e32edea5e82,explicit_input_instance,100,image_processing,explicit_image_processing_problem,full_solution,,,3,HIGH,O(nd),,O(n^2 \log n)
AW-000019,"Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000019.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000019.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000019.context.evidence.yaml,v1,include,45f16c8019513674,explicit_input_instance,100,image_processing,explicit_image_processing_problem,full_solution,,,3,HIGH,O(N),,O(N)
AW-000020,Grigoryan,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000020.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000020.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000020.context.evidence.yaml,v1,include,f2d41ea7bc491840,explicit_input_instance,75,combinatorics,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(n),,O(n)
AW-000021,Sedgewick Szymanski and Yao,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000021.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000021.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000021.context.evidence.yaml,v1,include,e884d3b43064f038,random_access_string,65,graph,explicit_graph_problem,path_or_tree,,,3,HIGH,M,,(\mu + \lambda)(1+\Theta(1/\sqrt{M}))
AW-000022,Nivasch,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000022.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000022.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000022.context.evidence.yaml,v1,include,fcb85056775fa4bf,random_access_string,65,combinatorics,explicit_combinatorial_problem,one_witness,,,2,HIGH,O(\log\mu),,O(\mu + \lambda)
AW-000023,Insertion Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000023.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000023.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000023.context.evidence.yaml,v1,include,799b861e17450ef2,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(1),,O(n^2)
AW-000024,Selection Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000024.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000024.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000024.context.evidence.yaml,v1,include,fbc4376fdd612718,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(1),,O(n^2)
AW-000025,Merge Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000025.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000025.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000025.context.evidence.yaml,v1,include,f2f0be1fd55a0470,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(n),,O(n \log n)
AW-000026,Bubble Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000026.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000026.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000026.context.evidence.yaml,v1,include,9e8864ff5b7f06c3,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,2,HIGH,O(1),,O(n^2)
AW-000027,Intro Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000027.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000027.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000027.context.evidence.yaml,v1,include,6f86bac683b9eaa4,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,3,HIGH,O(\log n),,O(n \log n)
AW-000028,Heap Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000028.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000028.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000028.context.evidence.yaml,v1,include,d9e3445775f8cd41,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,2,HIGH,O(1),,O(n \log n)
AW-000029,Counting Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000029.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000029.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000029.context.evidence.yaml,v1,include,63ccec7a0564b153,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(n+k),,O(n+k)
AW-000030,Bucket Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000030.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000030.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000030.context.evidence.yaml,v1,include,396116f5dd731ee4,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(n),,O(n^2)
AW-000031,Radix Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000031.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000031.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000031.context.evidence.yaml,v1,include,8399d5774e649ab5,random_access_array,100,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(w+n),,O(wn)
AW-000032,Naive Selection,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000032.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000032.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000032.context.evidence.yaml,v1,include,e3e9883f93e0564d,random_access_array,60,sorting,explicit_sequence_problem,full_sequence_output,,,1,HIGH,O(1),,O(n \log n)
AW-000033,Hoare's Selection Algorithm (QuickSelect),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000033.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000033.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000033.context.evidence.yaml,v1,include,ed9fc30768d0edba,random_access_array,60,sorting,explicit_sequence_problem,full_sequence_output,,,2,HIGH,O(1),,O(n^2)
AW-000034,Brute Force,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000034.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000034.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000034.context.evidence.yaml,second_pass,include,1d84c71173505749,random_access_string,80,dynamic_programming,explicit_dynamic_programming_problem,full_solution,,matrix_chain_ordering,2,HIGH,O(n),,O(4^n)
AW-000035,Dynamic Programming Algorithm (S. S. Godbole),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000035.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000035.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000035.context.evidence.yaml,v1,include,7cb2858af69c12fe,offline_batch_queries,100,dynamic_programming,explicit_dynamic_programming_problem,full_solution,,,1,HIGH,O(n^2),,O(n^3)
AW-000036,Wagner and Fischer,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000036.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000036.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000036.context.evidence.yaml,v1,include,0ff723da3d80314a,random_access_string,100,string,explicit_string_problem,full_solution,,,2,HIGH,O(mn),,O(mn)
AW-000037,Naive algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000037.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000037.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000037.context.evidence.yaml,v1,include,b89677e44204850f,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,O(1),,O(n^3)
AW-000038,Strassen's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000038.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000038.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000038.context.evidence.yaml,v1,include,64398db22570daba,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(n^2),,"O(n^{\log(7)/\log(2)}), approximately O(n^{2.807})"
AW-000039,Pan's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000039.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000039.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000039.context.evidence.yaml,v1,include,ea1058983da19377,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,2,HIGH,O(n^2),,"O(n^{\log(143640)/\log(70)}), approximately O(n^{2.795})"
AW-000040,Romani's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000040.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000040.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000040.context.evidence.yaml,v1,include,99321d55a0cba86b,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(n^2),,O(n^{2.51665})
AW-000041,Coppersmith–Winograd algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000041.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000041.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000041.context.evidence.yaml,v1,include,084bf2a5eaf87a28,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(n^2),,O(n^{2.495548})
AW-000042,Strassen's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000042.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000042.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000042.context.evidence.yaml,v1,include,9b385431b3bfbc87,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,2,HIGH,O(n^2),,"O(n^{\log(54)/\log(5)}), approximately O(n^{2.4785})"
AW-000043,Coppersmith–Winograd algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000043.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000043.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000043.context.evidence.yaml,v1,include,ba6de5b56e060405,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,O(n^2),,O(n^{2.3755})
AW-000044,Vassilevska Williams,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000044.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000044.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000044.context.evidence.yaml,v1,include,0c4c01c8f2c384d0,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,O(n^2),,O(n^{2.372873})
AW-000045,François Le Gall,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000045.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000045.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000045.context.evidence.yaml,v1,include,37f553c052ed1ce6,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(n^2),,O(n^{2.3728639})
AW-000046,Brute-force search,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000046.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000046.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000046.context.evidence.yaml,v1,include,0b50ff53daadca17,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,1,HIGH,O(n),,O((m+n) 3^n)
AW-000047,Brute force,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000047.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000047.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000047.context.evidence.yaml,v1,include,b8ffabd9f9bdf685,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,1,HIGH,O(n),,O((m+n) 4^n)
AW-000048,Gaussian-Jordan Elimination,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000048.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000048.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000048.context.evidence.yaml,v1,include,538fcf2435a55599,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,O(n^2),,O(n^3)
AW-000053,Cholesky,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000053.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000053.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000053.context.evidence.yaml,v1,include,627f1770587fa37a,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,O(n^2),,O(n^3)
AW-000054,Aasen's method,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000054.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000054.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000054.context.evidence.yaml,v1,include,277a7644b0343b98,dense_matrix_access,70,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(n^2),,O(n^3)
AW-000055,Levinson–Durbin recursion,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000055.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000055.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000055.context.evidence.yaml,v1,include,faad41059046030e,function_evaluation_oracle_classical,70,numerical_analysis,explicit_numerical_problem,estimate,,,3,HIGH,O(n^2),,O(n^2)
AW-000056,Bareiss Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000056.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000056.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000056.context.evidence.yaml,v1,include,b4b41f364b4698da,function_evaluation_oracle_classical,70,numerical_analysis,explicit_numerical_problem,estimate,,,3,HIGH,O(n^2),,O(n^2)
AW-000057,Bjorck-Pereyra,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000057.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000057.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000057.context.evidence.yaml,second_pass,include,e44194207b3f4867,dense_matrix_access,80,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,vandermonde_linear_system,3,HIGH,O(n^2),,O(n^2)
AW-000058,Naive,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000058.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000058.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000058.context.evidence.yaml,v1,include,b5dd53739f1707bd,explicit_geometric_objects,100,computational_geometry,explicit_geometry_problem,full_solution,,,1,HIGH,O(1),,O(n^2)
AW-000059,Bentley–Ottmann algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000059.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000059.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000059.context.evidence.yaml,v1,include,f68bd7ae5360ff61,explicit_geometric_objects,100,computational_geometry,explicit_geometry_problem,full_solution,,,3,HIGH,O(n),,O(n \log n + k \log n)
AW-000060,Kruskal’s algorithm with demand-sorting,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000060.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000060.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000060.context.evidence.yaml,v1,include,752e63ecdaad2a5f,edge_list_input,100,graph,explicit_graph_problem,path_or_tree,,,3,HIGH,O(E),,O(E \log V)
AW-000061,Quick Kruskal algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000061.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000061.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000061.context.evidence.yaml,v1,include,2a8d0c6884e891a3,edge_list_input,100,graph,explicit_graph_problem,path_or_tree,,,2,HIGH,O(E),,O(E \log V)
AW-000062,Karger Klein & Tarjan,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000062.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000062.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000062.context.evidence.yaml,v1,include,4a1b919129e5adae,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,1,HIGH,O(E),,"O(\min(V^2, E \log V))"
AW-000063,Naive Implementation,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000063.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000063.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000063.context.evidence.yaml,second_pass,include,3048a9229071f5cd,explicit_geometric_objects,80,computational_geometry,explicit_geometry_problem,one_witness,,point_set_geometry,2,HIGH,O(1),,O(kn^2)
AW-000064,Doolittle Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000064.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000064.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000064.context.evidence.yaml,v1,include,295987217414e97f,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,1,HIGH,\tilde{O}(1),,O(n^3)
AW-000065,Crout algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000065.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000065.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000065.context.evidence.yaml,v1,include,dfaa17a8dd9aea78,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,2,HIGH,\tilde{O}(1),,O(n^3)
AW-000066,Okunev Johnson,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000066.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000066.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000066.context.evidence.yaml,v1,include,c8f22e029c04d74b,dense_matrix_access,100,matrix_linear_algebra,explicit_matrix_problem,full_classical_output,,,3,HIGH,O(1),,O(n^3)
AW-000067,A* Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000067.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000067.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000067.context.evidence.yaml,v1,include,b4aa15ebd6bd4fa0,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,2,HIGH,O(b^d),,O(b^d)
AW-000068,Bidirectional A* Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000068.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000068.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000068.context.evidence.yaml,v1,include,2c2378edee33bb4f,adjacency_list_query,100,graph,explicit_graph_problem,full_solution,,,1,HIGH,O(b^{d/2}),,O(b^{(d/2)})
