fact_id,fact_type,value,source_id,reliability,confidence,conflict_status,notes
AW-000004-Fadaf4cf1f4,space_complexity,O(n),AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000004-F5b22b6a3c3,input_semantics,Parameter definitions: n: number of elements,AW-000004:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000004-Fcbcfee5ab2,authoritative_source_link,https://www.sciencedirect.com/science/article/pii/0196677487900526,AW-000004:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000004-Fa850c27e7b,source_title,AlgorithmWiki metadata for Larmore,AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-Fff59bd6cc8,problem_definition,Source title indicates: AlgorithmWiki metadata for Larmore,AW-000004:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000004-Fab1e31c765,problem_definition,AlgorithmWiki row name: Larmore,AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-Ff950962284,problem_definition,domain: unknown,AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-F216dd2af7f,time_complexity,time complexity: O(n^{1.6}),AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-Fcdd175e37b,space_complexity,space complexity: O(n),AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-Fc597bb9164,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000004-F3541319710,source_title,"Larmore, Jennifer",crossref_search:537a46abfd52de2f,MEDIUM,70,consistent,previous_source_record
AW-000004-F4b003cbb6b,problem_definition,"Crossref title-search result: Larmore, Jennifer",crossref_search:537a46abfd52de2f,MEDIUM,70,consistent,previous_source_record
AW-000004-F845b1dd05c,authoritative_source_link,https://doi.org/10.1093/gmo/9781561592630.article.41818,crossref_search:537a46abfd52de2f,MEDIUM,70,consistent,previous_source_record
AW-000009-Fc9995bfce4,alias,Klinz,AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000009-Fb064d58060,time_complexity,O(\sigma^{3/2}),AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000009-F6320d235fb,space_complexity,O(t),AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000009-F477ecb6566,input_semantics,Parameter definitions: \sigma: sum of integers in the set (\sigma \geq t),AW-000009:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000009-F942a15a5e8,authoritative_source_link,https://doi.org/10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO2-2,AW-000009:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000009-Fceb503ba0e,source_title,AlgorithmWiki metadata for Klinz,AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F4eab7d9b75,problem_definition,Source title indicates: AlgorithmWiki metadata for Klinz,AW-000009:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000009-Fba051d2da5,problem_definition,AlgorithmWiki row name: Klinz,AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F441a0b8e98,problem_definition,domain: unknown,AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F731310dd03,time_complexity,time complexity: O(\sigma^{3/2}),AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F017da20cb3,space_complexity,space complexity: O(t),AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F088af68d1d,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000009:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000009-F04c94e4edc,authoritative_source_link,https://doi.org/10.1002/(SICI)1097-0037(199905)33:3,failed:707763bb726a6966,LOW,45,consistent,previous_source_record
AW-000009-F4d0d5ed8ae,source_title,Anita Klinz: The Art of Book Design,crossref_search:b647bc2c473ebf41,MEDIUM,70,consistent,previous_source_record
AW-000009-Fed7260debd,problem_definition,Crossref title-search result: Anita Klinz: The Art of Book Design,crossref_search:b647bc2c473ebf41,MEDIUM,70,consistent,previous_source_record
AW-000009-F3bc97d56e8,authoritative_source_link,https://doi.org/10.5040/9781350349285.ch-2.1,crossref_search:b647bc2c473ebf41,MEDIUM,70,consistent,previous_source_record
AW-000015-F2c77d2e8a8,alias,"Lawrence, Reilly",AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000015-F5b04b055e1,time_complexity,O(nm),AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000015-Fc4b2885e39,space_complexity,O(nm),AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000015-Fc73b0c6b3a,computation_model,Word RAM,AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000015-F951a9f04fc,input_semantics,"Parameter definitions: n: number of sequences, m: length of sequences",AW-000015:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000015-F91b69def1a,authoritative_source_link,https://www.ncbi.nlm.nih.gov/pubmed/2184437,AW-000015:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000015-F17eeb082e6,source_title,"AlgorithmWiki metadata for Lawrence, Reilly",AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F96c80ac9b1,problem_definition,"Source title indicates: AlgorithmWiki metadata for Lawrence, Reilly",AW-000015:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000015-F4387a8aab5,problem_definition,"AlgorithmWiki row name: Lawrence, Reilly",AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F318a30140b,problem_definition,domain: unknown,AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-Fbc61b4dce5,time_complexity,time complexity: O(nm),AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F8d60ecd42a,space_complexity,space complexity: O(nm),AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F5f95bb27ea,computation_model,computational model: Word RAM,AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F5b3d3c0bd9,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000015:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000015-F3ffa244ae8,source_title,An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences - PubMed,source:afe6bc52f27fb6ec,LOW,45,consistent,previous_source_record
AW-000015-Fca766abfc1,problem_definition,Source title indicates: An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences - PubMed,source:afe6bc52f27fb6ec,LOW,45,weak,previous_source_record
AW-000015-Fb438e469e1,problem_definition,source page title: An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences - PubMed,source:afe6bc52f27fb6ec,LOW,45,consistent,previous_source_record
AW-000015-F0eff661dac,problem_definition,source page description: Statistical methodology for the identification and characterization of protein binding sites in a set of unaligned DNA fragments is presented.,source:afe6bc52f27fb6ec,LOW,45,consistent,previous_source_record
AW-000015-F07a70ec933,source_title,An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences,crossref_search:1165118262d70c13,MEDIUM,70,consistent,previous_source_record
AW-000015-F4a6f6e8ac9,problem_definition,Source title indicates: An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences,crossref_search:1165118262d70c13,MEDIUM,70,weak,previous_source_record
AW-000015-Fa0fe99bcf0,problem_definition,Crossref title-search result: An expectation maximization (EM) algorithm for the identification and characterization of common sites in unaligned biopolymer sequences,crossref_search:1165118262d70c13,MEDIUM,70,consistent,previous_source_record
AW-000015-F4470c565aa,problem_definition,abstract summary: Abstract Statistical methodology for the identification and characterization of protein binding sites in a set of unaligned DNA fragments is presented.,crossref_search:1165118262d70c13,MEDIUM,70,consistent,previous_source_record
AW-000015-F3ad12afa9c,authoritative_source_link,https://doi.org/10.1002/prot.340070105,crossref_search:1165118262d70c13,MEDIUM,70,consistent,previous_source_record
AW-000015-Fe7b7ce9163,problem_definition,Statistical methodology for the identification and characterization of protein binding sites in a set of unaligned DNA fragments is presented.,source:afe6bc52f27fb6ec,LOW,45,consistent,original_source
AW-000100-F7d224ce747,alias,Psinger,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000100-F336ddeed92,time_complexity,O(n \max(S)),AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000100-Fd4424bd045,space_complexity,O(t),AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000100-F6f8ae099ce,computation_model,Word RAM,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000100-F4f1058b1ab,input_semantics,"Parameter definitions: n: the number of integers in the set, \max(S): largest number in the set",AW-000100:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000100-F31c341e370,authoritative_source_link,https://www.sciencedirect.com/science/article/abs/pii/S0196677499910349,AW-000100:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000100-F9210152951,source_title,AlgorithmWiki metadata for Psinger,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-F5489a669c0,problem_definition,Source title indicates: AlgorithmWiki metadata for Psinger,AW-000100:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000100-Fe12c6ac0bd,problem_definition,AlgorithmWiki row name: Psinger,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-Fdac9b512de,problem_definition,domain: unknown,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-F34b3a728cb,time_complexity,time complexity: O(n \max(S)),AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-F8525b7cb8b,space_complexity,space complexity: O(t),AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-F0ea3fc9267,computation_model,computational model: Word RAM,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-F09fd203212,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000100:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000100-Fd83c6a7ff1,source_title,"Remarks on Algorithm 2, Algorithm 3, Algorithm 15, Algorithm 25 and Algorithm 26",crossref_search:3846800f841c4866,MEDIUM,70,consistent,previous_source_record
AW-000100-Fe967e1b447,problem_definition,"Source title indicates: Remarks on Algorithm 2, Algorithm 3, Algorithm 15, Algorithm 25 and Algorithm 26",crossref_search:3846800f841c4866,MEDIUM,70,weak,previous_source_record
AW-000100-F4aa2f85986,problem_definition,"Crossref title-search result: Remarks on Algorithm 2, Algorithm 3, Algorithm 15, Algorithm 25 and Algorithm 26",crossref_search:3846800f841c4866,MEDIUM,70,consistent,previous_source_record
AW-000100-F4127009325,authoritative_source_link,https://doi.org/10.1145/366199.366273,crossref_search:3846800f841c4866,MEDIUM,70,consistent,previous_source_record
AW-000133-Fefcccb4382,alias,UKF,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000133-F6ecaac78fc,time_complexity,O(n^3),AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000133-Fc3d4e6d2ca,space_complexity,O(n^2),AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000133-F7e011a0f57,computation_model,Real RAM,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000133-F4df3352c58,input_semantics,Parameter definitions: n: number of dimensions in state space,AW-000133:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000133-F12dbaf2549,authoritative_source_link,https://www.seas.harvard.edu/courses/cs281/papers/unscented.pdf,AW-000133:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000133-F35ee3c66f9,source_title,AlgorithmWiki metadata for UKF,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-Fb65f29d992,problem_definition,Source title indicates: AlgorithmWiki metadata for UKF,AW-000133:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000133-Fadb7571e4e,problem_definition,AlgorithmWiki row name: UKF,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-Facb736ff50,problem_definition,domain: unknown,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-F1590f70e63,time_complexity,time complexity: O(n^3),AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-F189b1583cc,space_complexity,space complexity: O(n^2),AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-F85ccc1caad,computation_model,computational model: Real RAM,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-F593258160a,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000133:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000133-Fbe734f26c7,source_title,An SLAM algorithm based on improved UKF,crossref_search:b3dc2885f8a0225c,MEDIUM,70,consistent,previous_source_record
AW-000133-Fe1af5ef993,problem_definition,Source title indicates: An SLAM algorithm based on improved UKF,crossref_search:b3dc2885f8a0225c,MEDIUM,70,weak,previous_source_record
AW-000133-F3930052e81,problem_definition,Crossref title-search result: An SLAM algorithm based on improved UKF,crossref_search:b3dc2885f8a0225c,MEDIUM,70,consistent,previous_source_record
AW-000133-F2b9caa4e03,authoritative_source_link,https://doi.org/10.1109/ccdc.2012.6243112,crossref_search:b3dc2885f8a0225c,MEDIUM,70,consistent,previous_source_record
AW-000133-F81e1d0af40,source_title,"A comparison of EKF, UKF, FastSLAM2.0, and UKF-based FastSLAM algorithms",crossref_search:761184f2b181168a,MEDIUM,70,consistent,crossref
AW-000133-F991c5ab28c,problem_definition,"Source title indicates: A comparison of EKF, UKF, FastSLAM2.0, and UKF-based FastSLAM algorithms",crossref_search:761184f2b181168a,MEDIUM,70,weak,crossref
AW-000133-F4f9e6ab1f7,problem_definition,"Crossref title: A comparison of EKF, UKF, FastSLAM2.0, and UKF-based FastSLAM algorithms",crossref_search:761184f2b181168a,MEDIUM,70,consistent,crossref
AW-000133-F461694acce,problem_definition,published year: 2012,crossref_search:761184f2b181168a,MEDIUM,70,consistent,crossref
AW-000133-F20fe814257,problem_definition,container title: 2012 IEEE 16th International Conference on Intelligent Engineering Systems (INES),crossref_search:761184f2b181168a,MEDIUM,70,consistent,crossref
AW-000133-F7fd63980b7,authoritative_source_link,https://doi.org/10.1109/ines.2012.6249866,crossref_search:761184f2b181168a,MEDIUM,70,consistent,crossref
AW-000133-F49d6c10ec5,source_title,On the Accuracy of the One-step UKF and the Two-step UKF,arxiv:e89367dcb445a3ee,HIGH,85,consistent,arxiv
AW-000133-Fe5f85535b2,problem_definition,arXiv title: On the Accuracy of the One-step UKF and the Two-step UKF,arxiv:e89367dcb445a3ee,HIGH,85,consistent,arxiv
AW-000133-F49c07ce9a4,problem_definition,abstract summary: The most accurate version of the unscented Kalman filter (UKF) involves the construction of two ensembles.,arxiv:e89367dcb445a3ee,HIGH,85,consistent,arxiv
AW-000133-Feab2f2e4a4,authoritative_source_link,http://arxiv.org/abs/2208.09055v1,arxiv:e89367dcb445a3ee,HIGH,85,consistent,arxiv
AW-000134-Ffd758e2398,alias,Compressed Extended KF,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000134-F6437bde7bf,time_complexity,O(n^3),AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000134-F186e729fa9,space_complexity,O(n^2),AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000134-F5cc8d9b289,computation_model,Real RAM,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000134-Fb2fd023e6c,input_semantics,Parameter definitions: n: number of dimensions in state space,AW-000134:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000134-F34acb86b6a,authoritative_source_link,https://citeseerx.ist.psu.edu/pdf/37c4798e4557916019cee1d027e6bba0dc71f8e4,AW-000134:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000134-Ff0397034b9,source_title,AlgorithmWiki metadata for Compressed Extended KF,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-Fefff476497,problem_definition,Source title indicates: AlgorithmWiki metadata for Compressed Extended KF,AW-000134:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000134-F7e39e3e854,problem_definition,AlgorithmWiki row name: Compressed Extended KF,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-F8a902a68d8,problem_definition,domain: unknown,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-Fb314c558e4,time_complexity,time complexity: O(n^3),AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-F4b072a12cf,space_complexity,space complexity: O(n^2),AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-Fb99b48da8a,computation_model,computational model: Real RAM,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-F71735f7b5d,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000134:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000134-F902b0d7753,source_title,Extended AMP algorithm for correlated distributed compressed sensing model,crossref_search:6009aad56d9a0ad8,MEDIUM,70,consistent,previous_source_record
AW-000134-F8fa673d1bb,problem_definition,Source title indicates: Extended AMP algorithm for correlated distributed compressed sensing model,crossref_search:6009aad56d9a0ad8,MEDIUM,70,weak,previous_source_record
AW-000134-F39c93476c1,problem_definition,Crossref title-search result: Extended AMP algorithm for correlated distributed compressed sensing model,crossref_search:6009aad56d9a0ad8,MEDIUM,70,consistent,previous_source_record
AW-000134-Ffc10cd9ca6,authoritative_source_link,https://doi.org/10.1109/icdsp.2016.7868649,crossref_search:6009aad56d9a0ad8,MEDIUM,70,consistent,previous_source_record
AW-000134-Fca0007ea1a,source_title,compressed extended graphite,crossref_search:b90b3daceffe7453,MEDIUM,70,consistent,crossref
AW-000134-F4b5f9096ee,problem_definition,Source title indicates: compressed extended graphite,crossref_search:b90b3daceffe7453,MEDIUM,70,weak,crossref
AW-000134-Fca86b1f838,problem_definition,Crossref title: compressed extended graphite,crossref_search:b90b3daceffe7453,MEDIUM,70,consistent,crossref
AW-000134-F9f10bd2743,problem_definition,published year: 2020,crossref_search:b90b3daceffe7453,MEDIUM,70,consistent,crossref
AW-000134-F9b76e943f7,problem_definition,container title: Catalysis from A to Z,crossref_search:b90b3daceffe7453,MEDIUM,70,consistent,crossref
AW-000134-F6d7e0c71fd,authoritative_source_link,https://doi.org/10.1002/9783527809080.cataz03896,crossref_search:b90b3daceffe7453,MEDIUM,70,consistent,crossref
AW-000174-F5982140378,alias,Harrow (Quantum),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000174-Fd2b4763f21,time_complexity,O(k^2 \log n),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000174-Ff288c5dc84,space_complexity,O(\log n),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000174-F6b14ed64c5,computation_model,Quantum Computer,AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000174-Fe93c818a5c,input_semantics,"Parameter definitions: n: number of variables and number of equations, m: number of nonzero entries in matrix, k: ratio between largest and smallest eigenvalues",AW-000174:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000174-F7481e2a4e0,authoritative_source_link,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.150502,AW-000174:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000174-F629388489b,source_title,AlgorithmWiki metadata for Harrow (Quantum),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-Ff0a8c7bd12,problem_definition,Source title indicates: AlgorithmWiki metadata for Harrow (Quantum),AW-000174:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000174-F468d9ad591,problem_definition,AlgorithmWiki row name: Harrow (Quantum),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-F8b295384fb,problem_definition,domain: matrix_linear_algebra,AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-F5169dd6836,time_complexity,time complexity: O(k^2 \log n),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-F02d42224b5,space_complexity,space complexity: O(\log n),AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-Ff4fae6f177,computation_model,computational model: Quantum Computer,AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-Fd0f910d200,output_semantics,"precard summary: Given one or more explicit dense matrices over the stated arithmetic domain, compute the matrix or linear-algebraic output specified by the record. Baseline: time O(k^2 \log n); space O(\log n). Bottleneck: dense arithmetic and full matrix output dominate.",AW-000174:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000174-F99a2b760ca,source_title,Quantum Algorithm for Linear Systems of Equations,crossref:94bcc127fc385cfb,HIGH,85,consistent,previous_source_record
AW-000174-F756e268eca,problem_definition,Source title indicates: Quantum Algorithm for Linear Systems of Equations,crossref:94bcc127fc385cfb,HIGH,85,weak,previous_source_record
AW-000174-F88c3748404,problem_definition,DOI title: Quantum Algorithm for Linear Systems of Equations,crossref:94bcc127fc385cfb,HIGH,85,consistent,previous_source_record
AW-000174-F52ad3ac111,problem_definition,published year: 2009,crossref:94bcc127fc385cfb,HIGH,85,consistent,previous_source_record
AW-000174-Fc0a9a144b9,problem_definition,container title: Physical Review Letters,crossref:94bcc127fc385cfb,HIGH,85,consistent,previous_source_record
AW-000174-F2150e508ed,authoritative_source_link,https://doi.org/10.1103/PhysRevLett.103.150502,crossref:94bcc127fc385cfb,HIGH,85,consistent,previous_source_record
AW-000174-Fa48e69d46a,problem_definition,Crossref title-search result: Quantum Algorithm for Linear Systems of Equations,crossref_search:ac5f3a40d1563835,MEDIUM,70,consistent,previous_source_record
AW-000174-F589c269723,problem_definition,OpenAlex title: Quantum Algorithm for Linear Systems of Equations,openalex:17abf98ef3189a26,HIGH,85,consistent,openalex
AW-000174-Fabdb40d7e1,problem_definition,publication year: 2009,openalex:17abf98ef3189a26,HIGH,85,consistent,openalex
AW-000174-Fa3e307da60,problem_definition,"abstract summary: Solving linear systems of equations is a common problem that arises both on its own and as a subroutine in more complex problems: given a matrix $A$ and a vector $\stackrel{\ensuremath{\rightarrow}}{b}$, find a vector $\stackrel{\ensuremath{\rightarrow}}{x}$ such that $A\stackrel{\ensuremath{\rightarrow}}{x}=\stackrel{\ensuremath{\rightarrow}}{b}$.",openalex:17abf98ef3189a26,HIGH,85,consistent,openalex
AW-000174-F3816d22445,authoritative_source_link,https://openalex.org/W1492999010,openalex:17abf98ef3189a26,HIGH,85,consistent,openalex
AW-000174-Fa85068d135,problem_definition,Semantic Scholar title: Quantum algorithm for linear systems of equations.,semantic_scholar:ff89ff42b5e02f05,MEDIUM,70,consistent,semantic_scholar
AW-000174-F5914b9461c,problem_definition,published year: 2008,semantic_scholar:ff89ff42b5e02f05,MEDIUM,70,consistent,semantic_scholar
AW-000174-Ff0543d3f3b,problem_definition,"abstract summary: Solving linear systems of equations is a common problem that arises both on its own and as a subroutine in more complex problems: given a matrix A and a vector b(-->), find a vector x(-->) such that Ax(-->) = b(-->).",semantic_scholar:ff89ff42b5e02f05,MEDIUM,70,consistent,semantic_scholar
AW-000174-F7ec42eec53,authoritative_source_link,https://www.semanticscholar.org/paper/ed562f0c86c80f75a8b9ac7344567e8b44c8d643,semantic_scholar:ff89ff42b5e02f05,MEDIUM,70,consistent,semantic_scholar
AW-000237-F4ac8662813,alias,Williams' p + 1 algorithm,AW-000237:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
