algorithm_id,algorithm_name,saturation_status,cycles_completed,source_families_covered,new_fact_count,review_reasons,next_manual_action
AW-000377,Smith & Simmons 2005,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,15,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000380,Washington 1997,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,9,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000381,BartoBradtke & Singhe 1995,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,10,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000389,Nate Green,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000391,Heidrich W. and H.-P. Seidel,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,12,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000393,Mauro Steigleder,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000397,srba,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,23,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000419,Johnson,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,13,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000420,Alon and Kahale,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,22,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000423,General number field sieve,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,17,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000437,Nested loop join,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,19,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000439,Hash join,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000462,Sattolo's algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,28,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000463,Buchberger's algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,28,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000468,Steinhaus–Johnson–Trotter algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,29,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000469,Tompkins–Paige algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,30,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000488,Rader–Brenner algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,31,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000489,Bruun's FFT algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,33,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000495,Wang-Zhu-Cantor additive FFT,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,26,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000533,False position method,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,18,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000535,Secant method,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,20,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000537,Muller's method,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,26,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000538,Todd–Coxeter algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,38,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000539,Haselgrove-Leech-Trotter (HLT) algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,26,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000541,Expectation–maximization (EM) algorithm,BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,2,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata,31,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",Audit recovered card before any optional live analyze run.
AW-000543,Parameter-expanded expectation maximization (PX-EM) algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,26,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000545,Generalized expectation maximization (GEM) algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,27,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000546,α-EM algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,30,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000547,Naive solution,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,18,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000549,LogLog algorithm,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000553,Chow's Algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,25,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000554,"Linear Scan, Poletto & Sarkar",SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,24,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000555,"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,17,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000556,Kong and Wilken Algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000559,Naïve algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,29,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000560,Two-pass algorithm,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000562,Weighted incremental algorithm,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,24,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000595,5-point Gauss Seidel iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000596,5-point SOR iteration,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000597,5-point ADI iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000598,9-point SOR iteration,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,20,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000599,9-point Tensor product,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,24,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000600,9-point ADI iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000607,5-point Gauss Seidel iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000608,5-point SOR iteration,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,21,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000609,5-point ADI iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000610,9-point SOR iteration,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,20,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000611,9-point Tensor product,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,24,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000612,9-point ADI iteration,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000614,9-point ADI iteration + smooth guess,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,17,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000615,5-point cyclic reduction,SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,22,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000616,9-point FFT,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,18,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
