algorithm_id,algorithm_name,source_id,source_family,url,title,access_status,reliability,digest
AW-000133,UKF,skipped:f1f6ac8771616f50,original_source,https://www.seas.harvard.edu/courses/cs281/papers/unscented.pdf,public PDF body was not downloaded,skipped,LOW,22553ffc87c0337d
AW-000133,UKF,crossref_search:761184f2b181168a,doi_metadata,https://doi.org/10.1109/ines.2012.6249866,"A comparison of EKF, UKF, FastSLAM2.0, and UKF-based FastSLAM algorithms",fetched,MEDIUM,858c03637e7c920f
AW-000133,UKF,arxiv:e89367dcb445a3ee,arxiv_abstract,http://arxiv.org/abs/2208.09055v1,On the Accuracy of the One-step UKF and the Two-step UKF,fetched,HIGH,37e77fed1aee7cd3
AW-000134,Compressed Extended KF,skipped:7835d636b41ac0f7,original_source,https://citeseerx.ist.psu.edu/pdf/37c4798e4557916019cee1d027e6bba0dc71f8e4,public PDF body was not downloaded,skipped,LOW,a0d30a6ccace2c28
AW-000134,Compressed Extended KF,crossref_search:b90b3daceffe7453,doi_metadata,https://doi.org/10.1002/9783527809080.cataz03896,compressed extended graphite,fetched,MEDIUM,2b70057663798b9f
AW-000174,Harrow (Quantum),openalex:17abf98ef3189a26,openalex,https://openalex.org/W1492999010,Quantum Algorithm for Linear Systems of Equations,fetched,HIGH,faccafd7606d0a45
AW-000174,Harrow (Quantum),semantic_scholar:ff89ff42b5e02f05,semantic_scholar,https://www.semanticscholar.org/paper/ed562f0c86c80f75a8b9ac7344567e8b44c8d643,Quantum algorithm for linear systems of equations.,fetched,MEDIUM,f1cb6869fd794d75
AW-000237,Williams' p + 1 algorithm,crossref_search:da4edd46647ab9c3,doi_metadata,https://doi.org/10.2307/2005573,A Difficulty in Williams' Algorithm for Interpolating Rationals,fetched,MEDIUM,e0aa9f8fe90d7c1e
AW-000261,Covanov and Thomé,crossref_search:eb54d3763d4b182f,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00182215,"Thomé, Sébastien",fetched,MEDIUM,1c4fa3ffac7a827d
AW-000263,Harvey Hoeven Lecerf,crossref_search:18086c75d05fe443,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00106052,"Lecerf, F.",fetched,MEDIUM,65ed731540239a5e
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,crossref_search:0aeab252977f1bce,doi_metadata,https://doi.org/10.1016/s0035-9203(01)90248-2,"Chalmers and Mackay Medals, 2002",fetched,MEDIUM,ac650aca1055857a
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,openalex:476661833074e048,openalex,https://openalex.org/W1987981915,Type 2 diabetes and cardiovascular disease: Have all risk factors the same strength?,fetched,HIGH,c9f76511a5488296
AW-000287,J. J. Koenderink and W. Richards 1988,crossref_search:193e9be435adf656,doi_metadata,https://doi.org/10.1002/ana.410240320,"Thomas Richards Johns II, 1924–1988",fetched,MEDIUM,d32b62f045d86df0
AW-000288,Lindeberg (1994),crossref_search:fc59f8e178a49600,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,8ffee56de347e47a
AW-000288,Lindeberg (1994),openalex:23c0f86be5c58d3e,openalex,https://openalex.org/W1998526592,About the Lindeberg method for strongly mixing sequences,fetched,HIGH,b0ae2175668a4b84
AW-000292,T. Lindeberg and J. Garding (1997),crossref_search:b9f77092197aedbe,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,fde49a564f3c53d9
AW-000292,T. Lindeberg and J. Garding (1997),openalex:988bc15d92bf2cb5,openalex,https://openalex.org/W2139905387,3-D Depth Reconstruction from a Single Still Image,fetched,HIGH,9312a795ab210b98
AW-000293,Lindeberg 2005,crossref_search:dfb9c1f5fb1449b4,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,c3851e775eeaac0f
AW-000293,Lindeberg 2005,openalex:3646c62d05c46706,openalex,https://openalex.org/W2085739863,A generalization of the Lindeberg principle,fetched,HIGH,46cdced0e22a89c9
AW-000294,The Wang and Brady corner detection algorithm 1995,crossref_search:b3add2f4fe33f71b,doi_metadata,https://doi.org/10.1103/physrevlett.116.179802,Wang and Brady Reply:,fetched,MEDIUM,6c90b5b1f3136b34
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),skipped:2740962b6e1f2a94,original_source,https://citeseerx.ist.psu.edu/pdf/117d576d72515e900e6fc5a4a0e7f1d0142a8924,public PDF body was not downloaded,skipped,LOW,cc73c8b76602d9bc
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),crossref_search:f298b4458f3bdc70,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00076856,"Gool, Daniel van",fetched,MEDIUM,cc4fa9dadc870112
AW-000299,"Tao Luo, Zaifeng Shi and Pumeng Wang",crossref_search:ca3e6453a694077e,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00194333,Wang Luo,fetched,MEDIUM,0ffc901970ca8459
AW-000300,T. Lindeberg DoG 2012,crossref_search:c62ff1691bc77128,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,ba37454cf91f2a39
AW-000301,T. Lindeberg DoG 2015,crossref_search:2a57a773979836c0,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,5704207e4a266056
AW-000303,Hessain Determinant Lindeberg 1994,crossref_search:9318a57b1ced14c2,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,db908f25260f3c71
AW-000304,Hessain Determinant Lindeberg 1998,crossref_search:13e561c4adab684f,doi_metadata,https://doi.org/10.1090/mbk/121/10,Lindeberg condition,fetched,MEDIUM,355c8c2b90f292ce
AW-000304,Hessain Determinant Lindeberg 1998,semantic_scholar:b11e0fea443ba1ba,semantic_scholar,https://www.semanticscholar.org/paper/9f8756ea2523e35b46d9927837a8183bcfa49e0d,Genómica funcional de transportadores MDR bacterianos en infecciones de plantas,fetched,MEDIUM,8247268a3f48d9cd
AW-000307,Spatio-temporal Geert Willems Tinne Tuytelaars and Luc van Gool (2008),crossref_search:d32d3c7e87fe17e8,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00076856,"Gool, Daniel van",fetched,MEDIUM,39b4d0bb788a6b12
AW-000309,Maximally stable extremal regions Matas 2002,crossref_search:f5cad1ba56459e57,doi_metadata,https://doi.org/10.1007/978-3-031-05744-1_26,Maximally Stable Extremal Regions (MSER),fetched,MEDIUM,2e0a6fde63325999
AW-000310,A. Baumberg. 2000,crossref_search:11c31610493bbd2a,doi_metadata,https://doi.org/10.1553/0x00280f64,"Baumberg, Gabriele",fetched,MEDIUM,af1d8ced817e5afe
AW-000310,A. Baumberg. 2000,openalex:0f02a46865baa0c8,openalex,https://openalex.org/W2418622137,Single-molecule strong coupling at room temperature in plasmonic nanocavities,fetched,HIGH,41f715e558a056f4
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,crossref_search:dfaf884cb361eba9,doi_metadata,https://doi.org/10.1006/biol.2000.0260,OBITUARY Florian Horaud 1925–2000,fetched,MEDIUM,465fe8f8c8534cf2
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,openalex:2e1f5a1d3f4e270d,openalex,https://openalex.org/W2005135310,Incorporating Background Invariance into Feature-Based Object Recognition,fetched,HIGH,a74616d898f2b7e3
AW-000313,T. Tuytelaars and L. Van Gool 2000,crossref_search:cf611a7acdfa40a0,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00076856,"Gool, Daniel van",fetched,MEDIUM,d27db047487dc979
AW-000319,CNN Based Gatys Leon A 2001,crossref_search:fd1ec84007cbfd23,doi_metadata,https://doi.org/10.4135/9781412952507.n617,"Sullivan, Leon (1922–2001)",fetched,MEDIUM,dbc3cb55feda19c1
AW-000319,CNN Based Gatys Leon A 2001,openalex:c26a437bdf5b9438,openalex,https://openalex.org/W3132437634,Contourlet-CNN for SAR Image Despeckling,fetched,HIGH,715894613afdf3c2
AW-000320,P.Hanrahan and W.Krueger 1993,crossref_search:80ca4c86bb701513,doi_metadata,https://doi.org/10.1093/gao/9781884446054.article.t097793,"Hanrahan, Barbara",fetched,MEDIUM,9d6eccac96ab0eb0
AW-000321,H.W.Jensen 2001,crossref_search:5b68f0f0e9b37d49,doi_metadata,https://doi.org/10.1007/s11024-005-5397-4,Jensen on Jensen,fetched,MEDIUM,2458d5c9606bd145
AW-000321,H.W.Jensen 2001,openalex:a54795de6a647bca,openalex,https://openalex.org/W2150134132,Fast wavelet transform domain texture synthesis,fetched,HIGH,ad86d7db5977c8f3
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",crossref_search:9bb1c5bc869a128a,doi_metadata,https://doi.org/10.1007/s43390-022-00628-z,Kiyoshi Kaneda,fetched,MEDIUM,3d470b8bc3e33fc5
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",openalex:078eba5f13e0dcfb,openalex,https://openalex.org/W2023292900,LCIS,fetched,HIGH,269f7976d202feaa
AW-000325,Cabral B. Max N. and Springmeyer R 1990,crossref_search:746b82aa541ace74,doi_metadata,https://doi.org/10.1016/s0190-9622(08)80992-9,Max Wolf (1892–1990),fetched,MEDIUM,940a37a38b9b4007
AW-000325,Cabral B. Max N. and Springmeyer R 1990,openalex:ff625c4ab8273ffc,openalex,https://openalex.org/W2144323660,Predicting reflectance functions from complex surfaces,fetched,HIGH,f0663d57ee68743f
AW-000330,Ward anisotropic,crossref_search:d5f6f4d57882c1ff,doi_metadata,https://doi.org/10.25291/vr/1938-vlr-299,WARD v. WARD,fetched,MEDIUM,b8ad9a9aaafe68b1
AW-000331,Hanrahan–Krueger,crossref_search:356676c4ba8a36a6,doi_metadata,https://doi.org/10.1093/gao/9781884446054.article.t097793,"Hanrahan, Barbara",fetched,MEDIUM,c0042cc0179613ef
AW-000332,Linda G. Shapiro and George C. Stockman (2001),crossref_search:cdda269e25e15564,doi_metadata,https://doi.org/10.1103/physrevlett.67.157,"Stockman, Pandey, and George reply",fetched,MEDIUM,cee39135ad213fd6
AW-000332,Linda G. Shapiro and George C. Stockman (2001),openalex:e6bfe048df989b63,openalex,https://openalex.org/W2162175166,AUTOMATIC DETECTION AND SEVERITY ANALYSIS OF BRAIN TUMORS USING GUI IN MATLAB,fetched,HIGH,8c9a095efb20aac8
AW-000333,Recursive Region Splitting,crossref_search:5f0d1511bd14d8c1,doi_metadata,https://doi.org/10.1016/0734-189x(86)90116-7,Recursive region splitting at hierarchical scope views,fetched,MEDIUM,bfcee8db016783a0
AW-000334,Barghout Lauren Visual Taxometric approach,crossref_search:b46cb6ac20a72f83,doi_metadata,https://doi.org/10.2307/2412184,Taxometric Maps,fetched,MEDIUM,b10d9d186599ae64
AW-000335,Dual clustering - Guberman,crossref_search:8717432108c4958e,doi_metadata,https://doi.org/10.1057/9781403982704_18,Igor Guberman,fetched,MEDIUM,41cc0fb8ad2496c5
AW-000337,Kass Witkin and Terzopoulos,crossref_search:45227bd424fa664d,doi_metadata,https://doi.org/10.1093/oed/1196467476,"kass-kass, n.",fetched,MEDIUM,9e0c45d86564ed38
AW-000342,Iterated conditional modes algorithm,crossref_search:695bc647158b6037,doi_metadata,https://doi.org/10.1214/15-ejs1034,Selecting massive variables using an iterated conditional modes/medians algorithm,fetched,MEDIUM,f13463e7edd1d9e9
AW-000345,Florack and Kuijper,crossref_search:b47931b8f769563f,doi_metadata,https://doi.org/10.1086/364479,<i>Varia Dracontiana</i>. Dirk Kuijper Fzn,fetched,MEDIUM,f5c4ba4a487bb29b
AW-000345,Florack and Kuijper,openalex:17d9cab3d2249c12,openalex,https://openalex.org/W3099757845,Monotonicity of spatial critical points evolving under curvature-driven flows,fetched,HIGH,39cfc07dfa43c79d
AW-000346,Bijaoui and Rué,crossref_search:978b10d8e3038f89,doi_metadata,https://doi.org/10.1007/978-3-540-29925-7_6748,(7928) Bijaoui,fetched,MEDIUM,9b03ee1cadbacdfa
AW-000347,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),crossref_search:4776e8fc92785fea,doi_metadata,https://doi.org/10.1007/11949534_106,Multi-scale MAP Estimation of High-Resolution Images,fetched,MEDIUM,520f4b320dc70ff4
AW-000351,Coplanar facets merging - M.J. De Haemer and M.J. Zyda 1991,crossref_search:5e485808b3bae76f,doi_metadata,https://doi.org/10.1007/bf02948963,An algorithm for LOD by merging near coplanar faces based on gauss sphere,fetched,MEDIUM,b11ccefc76120019
AW-000352,Coplanar facets merging - Hinker P. and Hansen C. 1993,crossref_search:82e3d00cd1b790d4,doi_metadata,https://doi.org/10.3109/14639239309034479,Rolf Hansen (1931–1993),fetched,MEDIUM,2b34a5f1d02dcf8a
AW-000353,Coplanar facets merging - Kalvin A. D. Cutting C. B. Haddad B. and Noz M. E. 1991,crossref_search:bf8e2af72112f2f1,doi_metadata,https://doi.org/10.24894/sprengglossarium_n02878,Noz,fetched,MEDIUM,e7b5123bba7bbcee
AW-000354,Coplanar facets merging - A.D. Kalvin and R.H. Taylor 1996,crossref_search:c411d6a049fbb824,doi_metadata,https://doi.org/10.1093/hwj/1997.43.289,Val Taylor 1946–1996,fetched,MEDIUM,fad07209994d37cb
AW-000355,Controlled vertex/edge/face decimation - M.E. Algorri and F. Schmitt 1996,crossref_search:aa8db42e6bd303c6,doi_metadata,https://doi.org/10.1016/j.dam.2003.07.008,Vertex-pancyclicity of edge-face-total graphs,fetched,MEDIUM,023e88caf1c110c3
AW-000356,Controlled vertex/edge/face decimation - Guéziec 1996,crossref_search:8e28094696b278ae,doi_metadata,https://doi.org/10.1016/j.dam.2003.07.008,Vertex-pancyclicity of edge-face-total graphs,fetched,MEDIUM,ed00f7082077531d
AW-000357,Controlled vertex/edge/face decimation - R. Ronfard and J. Rossignac 1996,crossref_search:0da8c7885885599e,doi_metadata,https://doi.org/10.1016/j.dam.2003.07.008,Vertex-pancyclicity of edge-face-total graphs,fetched,MEDIUM,a36547dee807e9ff
AW-000358,Controlled vertex/edge/face decimation - Hamann 1994,crossref_search:d0693f57e3c4264c,doi_metadata,https://doi.org/10.1016/j.dam.2003.07.008,Vertex-pancyclicity of edge-face-total graphs,fetched,MEDIUM,2661bf255ee6803b
AW-000359,Controlled vertex/edge/face decimation - Cohen J. Varshney A 1996,crossref_search:36aebd48e53a270f,doi_metadata,https://doi.org/10.1016/j.dam.2003.07.008,Vertex-pancyclicity of edge-face-total graphs,fetched,MEDIUM,1b987b9bc29076d1
AW-000360,Re-tiling - Turk G 1992,crossref_search:0b7c5344bff9e677,doi_metadata,https://doi.org/10.1145/133994.134008,Re-tiling polygonal surfaces,fetched,MEDIUM,333f7a0c1febe410
AW-000361,Vertex clustering - Rossignac J. and Borrel P. 1993,crossref_search:2282864595550fd5,doi_metadata,https://doi.org/10.1109/dsw.2019.8755591,Vertex-Frequency Clustering,fetched,MEDIUM,93f6fa511533e604
AW-000362,Vertex clustering - Low K. L. and Tan T. S 1997,crossref_search:6c2ed8f926643b60,doi_metadata,https://doi.org/10.1109/dsw.2019.8755591,Vertex-Frequency Clustering,fetched,MEDIUM,8e55c82d719ac4ea
AW-000363,Vertex clustering - Reddy 1996,crossref_search:b6f5ee80b457c6c4,doi_metadata,https://doi.org/10.1109/dsw.2019.8755591,Vertex-Frequency Clustering,fetched,MEDIUM,08e190030acfce8d
AW-000364,Vertex clustering - Hoppe H. DeRose T. 1993,crossref_search:9726758126cf0c21,doi_metadata,https://doi.org/10.1109/dsw.2019.8755591,Vertex-Frequency Clustering,fetched,MEDIUM,593fc83e8eb855d6
AW-000365,Vertex clustering - Rossignac J. and Borrel P. 1997,crossref_search:0a17cda62119a4d0,doi_metadata,https://doi.org/10.1136/bmj.2.3955.848,PROFESSOR BORREL,fetched,MEDIUM,333978da0de1b048
AW-000366,Wavelet-based - M.H. Gross O.G. Staadt and R. Gatti 1996,crossref_search:0bfb7dd9aac9d838,doi_metadata,https://doi.org/10.3726/978-3-653-04194-1/22,Kurras Jochen Staadt,fetched,MEDIUM,edc57e89f7879510
AW-000367,Wavelet-based - D.J. Hebert and H-J. Kim 1995,crossref_search:c6e55d42f5e57ab2,doi_metadata,https://doi.org/10.1111/j.1747-4477.1995.tb00499.x,"Professor Syngcuk Kim, 1995 Visiting Lecturer",fetched,MEDIUM,2ab35242cc9d2353
AW-000368,Wavelet-based - Certain A. Popovic J. 1996,crossref_search:0336515d6471ec41,doi_metadata,https://doi.org/10.1201/9781482289862-57,Popovic,fetched,MEDIUM,6cc9710f9d6bcbdb
AW-000369,Wavelet-based - Eck M. DeRose T. 1995,crossref_search:76ea484371e85457,doi_metadata,https://doi.org/10.1163/22105700-20191369,DeRose on Lotteries,fetched,MEDIUM,67fdc0ad03b38d60
AW-000370,Simplification via intermediate hierarchical rep-resentation - Andujar 1996,crossref_search:e4c06453d0eb5111,doi_metadata,https://doi.org/10.1109/smi.2003.1199606,An intermediate level representation scheme for secondary features recognition and B-rep model simplification,fetched,MEDIUM,f496acae1dd7744d
AW-000371,Simplification via intermediate hierarchical rep-resentation - He T. Hong L. Kaufman 1995,crossref_search:f7b661521fd3f7c7,doi_metadata,https://doi.org/10.1109/smi.2003.1199606,An intermediate level representation scheme for secondary features recognition and B-rep model simplification,fetched,MEDIUM,da942454be1c0527
AW-000372,Simplification via intermediate hierarchical rep-resentation - He T. Hong 1996,crossref_search:8583409ca6e51595,doi_metadata,https://doi.org/10.1109/smi.2003.1199606,An intermediate level representation scheme for secondary features recognition and B-rep model simplification,fetched,MEDIUM,a859ebfada6ef8d6
AW-000373,Hauskrecht 2000,crossref_search:eaa2eef28e3bfa8a,doi_metadata,https://doi.org/10.1177/1742271x0000800328,"WFUS 2000 Florence, May 2000",fetched,MEDIUM,0a11af2dd4a24684
AW-000373,Hauskrecht 2000,openalex:efb3ff811ce44de0,openalex,https://openalex.org/W2144913588,Online Planning Algorithms for POMDPs,fetched,HIGH,0db60f6b71d9e989
AW-000373,Hauskrecht 2000,semantic_scholar:14b5cc0a292f95d0,semantic_scholar,https://www.semanticscholar.org/paper/36679c13bb3ab945746b75e0abb37767eacf5394,Value-Function Approximations for Partially Observable Markov Decision Processes,fetched,MEDIUM,411e276c8805ae83
AW-000374,Pineau Gordon & Thrun 2003,crossref_search:48c28f47283fc023,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00182534,"Thrun, Mathias",fetched,MEDIUM,7cbb27a7b20440e5
AW-000375,Braziunas & Boutilier 2004,crossref_search:f98045962fe0f0d1,doi_metadata,https://doi.org/10.1242/jeb.02191,A TRIBUTE TO BOB BOUTILIER,fetched,MEDIUM,8773ea64a0478143
AW-000375,Braziunas & Boutilier 2004,openalex:6bfdefc5e66ecae8,openalex,https://openalex.org/W2110962519,Anytime Point-Based Approximations for Large POMDPs,fetched,HIGH,410c687a24fa4fcf
AW-000376,Poupart 2005,crossref_search:d6dfb38e3f68785c,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00145247,"Poupart, J.",fetched,MEDIUM,eff0caf725915a10
AW-000377,Smith & Simmons 2005,crossref_search:d0f1b3db3478f663,doi_metadata,https://doi.org/10.1007/3-540-30031-7_246,Simmons-Smith reaction,fetched,MEDIUM,61adf56b496409b5
AW-000377,Smith & Simmons 2005,openalex:23b4029d500f45b2,openalex,https://openalex.org/W2113750680,The 2005 World Health Organization Reevaluation of Human and Mammalian Toxic Equivalency Factors for Dioxins and Dioxin-Like Compounds,fetched,HIGH,2643f4a251240c98
AW-000378,Spaan & Vlassis 2005,crossref_search:534cbee6acbb8d1d,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00172879,"Spaan, Jan",fetched,MEDIUM,2bdbb75e393dbab4
AW-000379,Satia & Lave 1973,crossref_search:15e62116ec5d52db,doi_metadata,https://doi.org/10.5040/9781350601529.8500,lave,fetched,MEDIUM,fdeae14173cc616c
AW-000379,Satia & Lave 1973,openalex:efb3ff811ce44de0,openalex,https://openalex.org/W2144913588,Online Planning Algorithms for POMDPs,fetched,HIGH,0db60f6b71d9e989
AW-000380,Washington 1997,crossref_search:5c64dda77585c8d8,doi_metadata,https://doi.org/10.4324/9781315699868-725,Washington v. Glucksberg (1997),fetched,MEDIUM,f3ce93cc24ec7f32
AW-000380,Washington 1997,openalex:f2f14b5ad024e007,openalex,https://openalex.org/W2130874036,"Pediatric Deaths Attributable to Complex Chronic Conditions: A Population-Based Study of Washington State, 1980–1997",fetched,HIGH,c6a3149eff601435
AW-000381,BartoBradtke & Singhe 1995,crossref_search:235f2b9c18f1bd6f,doi_metadata,https://doi.org/10.2307/j.ctt1287bx8.8,JANUARY 1995–JUNE 1995,fetched,MEDIUM,d73fcdc3e88a67bf
AW-000382,Paquet Tobin & Chaib-draa 2005,crossref_search:271638858aef2e5a,doi_metadata,https://doi.org/10.1163/_eifo_dum_1117,DRAA,fetched,MEDIUM,226efde785a5ece2
AW-000382,Paquet Tobin & Chaib-draa 2005,openalex:efb3ff811ce44de0,openalex,https://openalex.org/W2144913588,Online Planning Algorithms for POMDPs,fetched,HIGH,0db60f6b71d9e989
AW-000383,McAllester & Singh 1999,crossref_search:7df79b4a902d7c72,doi_metadata,https://doi.org/10.1075/lplp.24.1.12stc,"Review of Singh (1999): The Yearbook of South Asian Languages and Linguistics, 1999",fetched,MEDIUM,501093be861e3ebc
AW-000383,McAllester & Singh 1999,openalex:09f824971f024bdb,openalex,https://openalex.org/W2964227312,The Option-Critic Architecture,fetched,HIGH,9641f29c165415d0
AW-000383,McAllester & Singh 1999,semantic_scholar:c7d10675d4d8858b,semantic_scholar,https://www.semanticscholar.org/paper/a20f0ce0616def7cc9a87446c228906cd5da093b,Policy Gradient Methods for Reinforcement Learning with Function Approximation,fetched,MEDIUM,2ea45bf17609a2c1
AW-000384,Bertsekas & Castanon 1999,crossref_search:65f0989640e7a499,doi_metadata,https://doi.org/10.1002/(sici)1097-0037(199703)29:2<111::aid-net5>3.0.co;2-m,A note on Bertsekas' small-label-first strategy,fetched,MEDIUM,88dd13f6d3b97d45
AW-000385,Shani Brafman & Shimony 2005,crossref_search:f37121351d547d65,doi_metadata,https://doi.org/10.1515/hdao.2.094,"Brafman, Jakov",fetched,MEDIUM,20e454eb8ea650bf
AW-000385,Shani Brafman & Shimony 2005,openalex:efb3ff811ce44de0,openalex,https://openalex.org/W2144913588,Online Planning Algorithms for POMDPs,fetched,HIGH,0db60f6b71d9e989
AW-000385,Shani Brafman & Shimony 2005,semantic_scholar:3db0a223665d3af0,semantic_scholar,https://www.semanticscholar.org/paper/f06bbe14d083e366512f4759b447e30d79da8eca,Model-Based Online Learning of POMDPs,fetched,MEDIUM,4e0f9c19c6e75c35
AW-000388,Blinn and Newell,crossref_search:01024acc4a8abc71,doi_metadata,https://doi.org/10.1093/oed/1013375023,"blin | blinn, v.",fetched,MEDIUM,4de79e3476fd3a35
AW-000389,Nate Green,crossref_search:c95b09ded3bd5623,doi_metadata,https://doi.org/10.3406/roma.1948.3647,Nate que nate,fetched,MEDIUM,b4c9cbb34827b661
AW-000389,Nate Green,openalex:db7183c71833d075,openalex,https://openalex.org/W2024755553,Green Inhibitors for Corrosion Protection of Metals and Alloys: An Overview,fetched,HIGH,fc8ea09433216e85
AW-000389,Nate Green,wikidata:e2997db853d1b8b3,wikidata,http://www.wikidata.org/entity/Q100982398,Nate Green,fetched,MEDIUM,8902f33c8f44a95b
AW-000390,Sphere mapping,crossref_search:7a3f0866544834f3,doi_metadata,https://doi.org/10.4324/9781315593852,Mapping the European Public Sphere,fetched,MEDIUM,0ff3ba8af491e5eb
AW-000390,Sphere mapping,openalex:3df8fbebeca2bbde,openalex,https://openalex.org/W3122601328,Social Mobilization and the Networked Public Sphere: Mapping the SOPA-PIPA Debate,fetched,HIGH,81159074234bd556
AW-000390,Sphere mapping,wikidata:100cae3a60330db9,wikidata,http://www.wikidata.org/entity/Q7576679,sphere mapping,fetched,MEDIUM,c0d9d603d111ecf9
AW-000391,Heidrich W. and H.-P. Seidel,crossref_search:f5f407329bb26130,doi_metadata,https://doi.org/10.1553/0x0001d0e9,"Heidrich, Walter",fetched,MEDIUM,d47963d64190f55e
AW-000391,Heidrich W. and H.-P. Seidel,openalex:6b7c0e72a67ea7e0,openalex,https://openalex.org/W2086210210,Adaptive anisotropic remeshing for cloth simulation,fetched,HIGH,160fb503337f360a
AW-000392,Emil Praun,crossref_search:369f1f82cb7b8701,doi_metadata,https://doi.org/10.1093/benz/9780199773787.article.b00145651,"Praun, Hermann",fetched,MEDIUM,06caf5751beafb92
AW-000393,Mauro Steigleder,crossref_search:fee03faadaac6216,doi_metadata,https://doi.org/10.1093/omo/9781561592630.013.90000381439,"Steigleder, Utz",fetched,MEDIUM,c4e9839a2101d500
AW-000393,Mauro Steigleder,openalex:c27bdbe4cb51db82,openalex,https://openalex.org/W2022205989,Acute Barrier Perturbation Abolishes the Ca2+ and K+ Gradients in Murine Epidermis: Quantitative Measurement Using PIXE,fetched,HIGH,d488c15947adc06e
AW-000394,HEALPix mapping Wong,crossref_search:723ac83e5ed4d4b6,doi_metadata,https://doi.org/10.1111/j.1365-2966.2007.12297.x,Mapping on the HEALPix grid,fetched,MEDIUM,725e4de59556b7e0
AW-000394,HEALPix mapping Wong,openalex:75f8933920b23810,openalex,https://openalex.org/W2963004081,Cosmology with Phase 1 of the Square Kilometre Array Red Book 2018: Technical specifications and performance forecasts,fetched,HIGH,81ff21897b4b659b
