algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,domain,input_model,access_model,output_contract,time_complexity,space_complexity,confidence_score,source_count,source_quality,card_digest,third_pass_rule,saturation_status
AW-000301,T. Lindeberg DoG 2015,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000301.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000301.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000301.context.evidence.yaml,image_processing,explicit_image_processing_problem,random_access_string,full_solution,O(n \log n),not stated,100,3,HIGH,7f0dc7e8f142d3c9,image_feature_detection,RECOVERED_CONTEXT
AW-000307,Spatio-temporal Geert Willems Tinne Tuytelaars and Luc van Gool (2008),corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000307.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000307.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000307.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^2),not stated,100,3,HIGH,6bcc59b49aa5c348,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000309,Maximally stable extremal regions Matas 2002,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000309.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000309.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000309.context.evidence.yaml,image_processing,explicit_image_processing_problem,random_access_string,full_solution,O(n^2 \log^3 n),not stated,100,3,HIGH,23c78f8383de0a05,image_feature_detection,RECOVERED_CONTEXT
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000311.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000311.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000311.context.evidence.yaml,image_processing,explicit_image_processing_problem,random_access_string,full_solution,O(n^2 \log \log n),not stated,100,4,HIGH,b96841d9e8febc5c,image_feature_detection,RECOVERED_CONTEXT
AW-000313,T. Tuytelaars and L. Van Gool 2000,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000313.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000313.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000313.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^3),not stated,100,3,HIGH,713be848636bb0da,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000319,CNN Based Gatys Leon A 2001,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000319.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000319.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000319.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,O(n^3),not stated,100,4,HIGH,7e0b91402b1858a0,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000320,P.Hanrahan and W.Krueger 1993,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000320.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000320.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000320.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(k n^2),not stated,100,3,HIGH,0f384920464681d3,rendering_or_shading,RECOVERED_CONTEXT
AW-000321,H.W.Jensen 2001,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000321.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000321.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000321.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(k^3 n),not stated,100,4,HIGH,e8c06f99c5710604,rendering_or_shading,RECOVERED_CONTEXT
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000324.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000324.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000324.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(k^3 n^2),not stated,100,4,HIGH,9f6c4225851577c1,rendering_or_shading,RECOVERED_CONTEXT
AW-000325,Cabral B. Max N. and Springmeyer R 1990,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000325.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000325.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000325.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(k n^2),not stated,100,4,HIGH,d81a3d809aeca0d9,third_pass_reuse_image_feature_detection,RECOVERED_CONTEXT
AW-000330,Ward anisotropic,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000330.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000330.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000330.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(n^{1.67} \log^2 n),not stated,100,3,HIGH,a7ea61e6a3b372c7,rendering_or_shading,RECOVERED_CONTEXT
AW-000331,Hanrahan–Krueger,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000331.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000331.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000331.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(n^2 \log n),not stated,100,3,HIGH,a9a081af5c013d4a,rendering_or_shading,RECOVERED_CONTEXT
AW-000333,Recursive Region Splitting,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000333.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000333.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000333.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,O(n^2),not stated,100,3,HIGH,134ec2ed139f46fb,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000334,Barghout Lauren Visual Taxometric approach,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000334.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000334.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000334.context.evidence.yaml,image_processing,explicit_image_processing_problem,adjacency_list_query,path_or_tree,O(n \log n),not stated,100,3,HIGH,cf8beaa3df979ef1,image_segmentation,RECOVERED_CONTEXT
AW-000335,Dual clustering - Guberman,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000335.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000335.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000335.context.evidence.yaml,image_processing,explicit_image_processing_problem,adjacency_list_query,path_or_tree,O(n \log n),not stated,100,3,HIGH,f96828a1ec9918b8,image_segmentation,RECOVERED_CONTEXT
AW-000337,Kass Witkin and Terzopoulos,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000337.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000337.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000337.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^2),not stated,100,3,HIGH,cf72641bf8542c34,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000342,Iterated conditional modes algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000342.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000342.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000342.context.evidence.yaml,image_processing,explicit_image_processing_problem,adjacency_list_query,path_or_tree,O(n^2),not stated,100,3,HIGH,c673c80da12dc7aa,image_segmentation,RECOVERED_CONTEXT
AW-000345,Florack and Kuijper,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000345.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000345.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000345.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,O(n^2),not stated,100,4,HIGH,58333304c41b74a7,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000346,Bijaoui and Rué,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000346.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000346.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000346.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^2),not stated,100,3,HIGH,c0170c45645549b6,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000347,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000347.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000347.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000347.context.evidence.yaml,image_processing,explicit_image_processing_problem,adjacency_list_query,path_or_tree,O(n^2),not stated,100,3,HIGH,bf985ec9710437d3,image_segmentation,RECOVERED_CONTEXT
AW-000351,Coplanar facets merging - M.J. De Haemer and M.J. Zyda 1991,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000351.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000351.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000351.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,d22ce3719956a54e,mesh_simplification,RECOVERED_CONTEXT
AW-000352,Coplanar facets merging - Hinker P. and Hansen C. 1993,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000352.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000352.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000352.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,135d4ae459a406eb,mesh_simplification,RECOVERED_CONTEXT
AW-000353,Coplanar facets merging - Kalvin A. D. Cutting C. B. Haddad B. and Noz M. E. 1991,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000353.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000353.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000353.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,10830a3488e6b033,mesh_simplification,RECOVERED_CONTEXT
AW-000354,Coplanar facets merging - A.D. Kalvin and R.H. Taylor 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000354.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000354.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000354.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,8fecbbca03cbbede,mesh_simplification,RECOVERED_CONTEXT
AW-000355,Controlled vertex/edge/face decimation - M.E. Algorri and F. Schmitt 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000355.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000355.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000355.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,not stated,not stated,100,3,HIGH,19e9fdefa3b0c994,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000356,Controlled vertex/edge/face decimation - Guéziec 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000356.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000356.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000356.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,not stated,not stated,100,3,HIGH,dc1bc6d4f458b05f,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000357,Controlled vertex/edge/face decimation - R. Ronfard and J. Rossignac 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000357.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000357.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000357.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,not stated,not stated,100,3,HIGH,3d9114abab44848e,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000358,Controlled vertex/edge/face decimation - Hamann 1994,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000358.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000358.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000358.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,not stated,not stated,100,3,HIGH,56b6ede3a12b281a,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000359,Controlled vertex/edge/face decimation - Cohen J. Varshney A 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000359.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000359.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000359.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,not stated,not stated,100,3,HIGH,1a7ac353192e1b16,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000360,Re-tiling - Turk G 1992,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000360.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000360.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000360.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,not stated,not stated,100,3,HIGH,2420b2383815ea6d,third_pass_reuse_image_feature_detection,RECOVERED_CONTEXT
AW-000361,Vertex clustering - Rossignac J. and Borrel P. 1993,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000361.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000361.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000361.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,a5a55034ad2d92e7,mesh_simplification,RECOVERED_CONTEXT
AW-000362,Vertex clustering - Low K. L. and Tan T. S 1997,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000362.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000362.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000362.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,ae814d42737d5ba5,mesh_simplification,RECOVERED_CONTEXT
AW-000363,Vertex clustering - Reddy 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000363.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000363.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000363.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,5bfdc29c74025150,mesh_simplification,RECOVERED_CONTEXT
AW-000364,Vertex clustering - Hoppe H. DeRose T. 1993,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000364.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000364.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000364.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,112c9bdab5565170,mesh_simplification,RECOVERED_CONTEXT
AW-000365,Vertex clustering - Rossignac J. and Borrel P. 1997,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000365.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000365.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000365.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,f0b5a7172f212e5f,mesh_simplification,RECOVERED_CONTEXT
AW-000366,Wavelet-based - M.H. Gross O.G. Staadt and R. Gatti 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000366.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000366.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000366.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,a25539a49d9291fd,mesh_simplification,RECOVERED_CONTEXT
AW-000367,Wavelet-based - D.J. Hebert and H-J. Kim 1995,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000367.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000367.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000367.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,912b150684ea474b,mesh_simplification,RECOVERED_CONTEXT
AW-000368,Wavelet-based - Certain A. Popovic J. 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000368.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000368.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000368.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,f80ce220d0f1ffdc,mesh_simplification,RECOVERED_CONTEXT
AW-000369,Wavelet-based - Eck M. DeRose T. 1995,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000369.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000369.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000369.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,not stated,not stated,100,3,HIGH,fb3062ce7fd0790c,mesh_simplification,RECOVERED_CONTEXT
AW-000370,Simplification via intermediate hierarchical rep-resentation - Andujar 1996,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000370.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000370.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000370.context.evidence.yaml,image_processing,explicit_image_processing_problem,random_access_string,full_solution,not stated,not stated,100,3,HIGH,5277c9b5c7ed6112,image_feature_detection,RECOVERED_CONTEXT
