algorithm_id,algorithm_name,saturation_status,cycles_completed,source_families_covered_count,new_fact_count,source_count,final_reason,certificate_path
AW-000288,Lindeberg (1994),SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000288.saturation.yaml
AW-000292,T. Lindeberg and J. Garding (1997),RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000292.saturation.yaml
AW-000293,Lindeberg 2005,SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000293.saturation.yaml
AW-000294,The Wang and Brady corner detection algorithm 1995,BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,1,6,12,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",source_saturation_certificates\AW-000294.saturation.yaml
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),RECOVERED_CONTEXT_AND_PROBE,1,6,12,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000298.saturation.yaml
AW-000299,"Tao Luo, Zaifeng Shi and Pumeng Wang",RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000299.saturation.yaml
AW-000300,T. Lindeberg DoG 2012,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000300.saturation.yaml
AW-000301,T. Lindeberg DoG 2015,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000301.saturation.yaml
AW-000303,Hessain Determinant Lindeberg 1994,SATURATED_NO_RECOVERY,3,17,11,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000303.saturation.yaml
AW-000304,Hessain Determinant Lindeberg 1998,SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000304.saturation.yaml
AW-000307,Spatio-temporal Geert Willems Tinne Tuytelaars and Luc van Gool (2008),RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000307.saturation.yaml
AW-000309,Maximally stable extremal regions Matas 2002,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000309.saturation.yaml
AW-000310,A. Baumberg. 2000,SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000310.saturation.yaml
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000311.saturation.yaml
AW-000313,T. Tuytelaars and L. Van Gool 2000,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000313.saturation.yaml
AW-000319,CNN Based Gatys Leon A 2001,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000319.saturation.yaml
AW-000320,P.Hanrahan and W.Krueger 1993,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000320.saturation.yaml
AW-000321,H.W.Jensen 2001,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000321.saturation.yaml
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",RECOVERED_CONTEXT_AND_PROBE,2,11,12,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000324.saturation.yaml
AW-000325,Cabral B. Max N. and Springmeyer R 1990,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000325.saturation.yaml
AW-000330,Ward anisotropic,RECOVERED_CONTEXT_AND_PROBE,1,6,12,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000330.saturation.yaml
AW-000331,Hanrahan–Krueger,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000331.saturation.yaml
AW-000332,Linda G. Shapiro and George C. Stockman (2001),SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000332.saturation.yaml
AW-000333,Recursive Region Splitting,RECOVERED_CONTEXT_AND_PROBE,1,6,17,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000333.saturation.yaml
AW-000334,Barghout Lauren Visual Taxometric approach,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000334.saturation.yaml
AW-000335,Dual clustering - Guberman,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000335.saturation.yaml
AW-000337,Kass Witkin and Terzopoulos,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000337.saturation.yaml
AW-000342,Iterated conditional modes algorithm,RECOVERED_CONTEXT_AND_PROBE,1,6,15,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000342.saturation.yaml
AW-000345,Florack and Kuijper,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000345.saturation.yaml
AW-000346,Bijaoui and Rué,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000346.saturation.yaml
AW-000347,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),RECOVERED_CONTEXT_AND_PROBE,1,6,18,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000347.saturation.yaml
AW-000351,Coplanar facets merging - M.J. De Haemer and M.J. Zyda 1991,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000351.saturation.yaml
AW-000352,Coplanar facets merging - Hinker P. and Hansen C. 1993,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000352.saturation.yaml
AW-000353,Coplanar facets merging - Kalvin A. D. Cutting C. B. Haddad B. and Noz M. E. 1991,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000353.saturation.yaml
AW-000354,Coplanar facets merging - A.D. Kalvin and R.H. Taylor 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000354.saturation.yaml
AW-000355,Controlled vertex/edge/face decimation - M.E. Algorri and F. Schmitt 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000355.saturation.yaml
AW-000356,Controlled vertex/edge/face decimation - Guéziec 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000356.saturation.yaml
AW-000357,Controlled vertex/edge/face decimation - R. Ronfard and J. Rossignac 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000357.saturation.yaml
AW-000358,Controlled vertex/edge/face decimation - Hamann 1994,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000358.saturation.yaml
AW-000359,Controlled vertex/edge/face decimation - Cohen J. Varshney A 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000359.saturation.yaml
AW-000360,Re-tiling - Turk G 1992,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000360.saturation.yaml
AW-000361,Vertex clustering - Rossignac J. and Borrel P. 1993,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000361.saturation.yaml
AW-000362,Vertex clustering - Low K. L. and Tan T. S 1997,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000362.saturation.yaml
AW-000363,Vertex clustering - Reddy 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000363.saturation.yaml
AW-000364,Vertex clustering - Hoppe H. DeRose T. 1993,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000364.saturation.yaml
AW-000365,Vertex clustering - Rossignac J. and Borrel P. 1997,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000365.saturation.yaml
AW-000366,Wavelet-based - M.H. Gross O.G. Staadt and R. Gatti 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000366.saturation.yaml
AW-000367,Wavelet-based - D.J. Hebert and H-J. Kim 1995,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000367.saturation.yaml
AW-000368,Wavelet-based - Certain A. Popovic J. 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000368.saturation.yaml
AW-000369,Wavelet-based - Eck M. DeRose T. 1995,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000369.saturation.yaml
AW-000370,Simplification via intermediate hierarchical rep-resentation - Andujar 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000370.saturation.yaml
AW-000371,Simplification via intermediate hierarchical rep-resentation - He T. Hong L. Kaufman 1995,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000371.saturation.yaml
AW-000372,Simplification via intermediate hierarchical rep-resentation - He T. Hong 1996,RECOVERED_CONTEXT_AND_PROBE,1,6,13,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000372.saturation.yaml
AW-000373,Hauskrecht 2000,RECOVERED_CONTEXT_AND_PROBE,2,11,22,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000373.saturation.yaml
AW-000374,Pineau Gordon & Thrun 2003,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000374.saturation.yaml
AW-000375,Braziunas & Boutilier 2004,RECOVERED_CONTEXT_AND_PROBE,2,11,15,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000375.saturation.yaml
AW-000376,Poupart 2005,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000376.saturation.yaml
AW-000377,Smith & Simmons 2005,SATURATED_NO_RECOVERY,4,17,15,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000377.saturation.yaml
AW-000378,Spaan & Vlassis 2005,RECOVERED_CONTEXT_AND_PROBE,1,6,9,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000378.saturation.yaml
AW-000379,Satia & Lave 1973,RECOVERED_CONTEXT_AND_PROBE,2,11,15,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000379.saturation.yaml
AW-000380,Washington 1997,SATURATED_NO_RECOVERY,3,17,9,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000380.saturation.yaml
AW-000381,BartoBradtke & Singhe 1995,SATURATED_NO_RECOVERY,3,17,10,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000381.saturation.yaml
AW-000382,Paquet Tobin & Chaib-draa 2005,RECOVERED_CONTEXT_AND_PROBE,2,11,15,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000382.saturation.yaml
AW-000383,McAllester & Singh 1999,RECOVERED_CONTEXT_AND_PROBE,2,11,18,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000383.saturation.yaml
AW-000384,Bertsekas & Castanon 1999,RECOVERED_CONTEXT_AND_PROBE,1,6,10,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000384.saturation.yaml
AW-000385,Shani Brafman & Shimony 2005,RECOVERED_CONTEXT_AND_PROBE,2,11,21,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000385.saturation.yaml
AW-000388,Blinn and Newell,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000388.saturation.yaml
AW-000389,Nate Green,SATURATED_NO_RECOVERY,3,17,11,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000389.saturation.yaml
AW-000390,Sphere mapping,RECOVERED_CONTEXT_AND_PROBE,2,11,12,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000390.saturation.yaml
AW-000391,Heidrich W. and H.-P. Seidel,SATURATED_NO_RECOVERY,3,17,12,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000391.saturation.yaml
AW-000392,Emil Praun,RECOVERED_CONTEXT_AND_PROBE,1,6,11,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000392.saturation.yaml
AW-000393,Mauro Steigleder,SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000393.saturation.yaml
AW-000394,HEALPix mapping Wong,RECOVERED_CONTEXT_AND_PROBE,2,11,11,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000394.saturation.yaml
AW-000395,Maximum a Posteriori Occupancy Mapping,RECOVERED_CONTEXT_AND_PROBE,1,6,12,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000395.saturation.yaml
AW-000397,srba,SATURATED_NO_RECOVERY,4,17,23,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000397.saturation.yaml
AW-000417,Schöning,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000417.saturation.yaml
AW-000418,Hirsch,RECOVERED_CONTEXT_AND_PROBE,1,6,16,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000418.saturation.yaml
AW-000419,Johnson,SATURATED_NO_RECOVERY,3,17,13,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000419.saturation.yaml
AW-000420,Alon and Kahale,SATURATED_NO_RECOVERY,4,17,22,4,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000420.saturation.yaml
AW-000423,General number field sieve,SATURATED_NO_RECOVERY,3,17,17,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000423.saturation.yaml
AW-000437,Nested loop join,SATURATED_NO_RECOVERY,4,17,19,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000437.saturation.yaml
AW-000439,Hash join,SATURATED_NO_RECOVERY,4,17,21,4,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000439.saturation.yaml
AW-000462,Sattolo's algorithm,SATURATED_NO_RECOVERY,4,17,28,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000462.saturation.yaml
AW-000463,Buchberger's algorithm,SATURATED_NO_RECOVERY,4,17,28,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000463.saturation.yaml
AW-000468,Steinhaus–Johnson–Trotter algorithm,SATURATED_NO_RECOVERY,4,17,29,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000468.saturation.yaml
AW-000469,Tompkins–Paige algorithm,SATURATED_NO_RECOVERY,4,17,30,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000469.saturation.yaml
AW-000477,Levcopoulos Lingas Sack,RECOVERED_CONTEXT_AND_PROBE,1,6,17,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000477.saturation.yaml
AW-000486,Naive algorithm,RECOVERED_CONTEXT_AND_PROBE,1,6,21,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000486.saturation.yaml
AW-000487,Cooley–Tukey algorithm,RECOVERED_CONTEXT_AND_PROBE,2,11,27,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000487.saturation.yaml
AW-000488,Rader–Brenner algorithm,SATURATED_NO_RECOVERY,4,17,31,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000488.saturation.yaml
AW-000489,Bruun's FFT algorithm,SATURATED_NO_RECOVERY,4,17,33,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000489.saturation.yaml
AW-000495,Wang-Zhu-Cantor additive FFT,SATURATED_NO_RECOVERY,4,17,26,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000495.saturation.yaml
AW-000496,Gao’s additive FFT,RECOVERED_CONTEXT_AND_PROBE,1,6,28,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000496.saturation.yaml
AW-000533,False position method,SATURATED_NO_RECOVERY,3,17,18,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000533.saturation.yaml
AW-000535,Secant method,SATURATED_NO_RECOVERY,3,17,20,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000535.saturation.yaml
AW-000536,Ridder's method,RECOVERED_CONTEXT_AND_PROBE,1,6,19,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000536.saturation.yaml
AW-000537,Muller's method,SATURATED_NO_RECOVERY,4,17,26,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000537.saturation.yaml
AW-000538,Todd–Coxeter algorithm,SATURATED_NO_RECOVERY,4,17,38,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000538.saturation.yaml
AW-000539,Haselgrove-Leech-Trotter (HLT) algorithm,SATURATED_NO_RECOVERY,4,17,26,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000539.saturation.yaml
AW-000541,Expectation–maximization (EM) algorithm,BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,2,11,31,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",source_saturation_certificates\AW-000541.saturation.yaml
AW-000543,Parameter-expanded expectation maximization (PX-EM) algorithm,SATURATED_NO_RECOVERY,4,17,26,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000543.saturation.yaml
AW-000545,Generalized expectation maximization (GEM) algorithm,SATURATED_NO_RECOVERY,4,17,27,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000545.saturation.yaml
AW-000546,α-EM algorithm,SATURATED_NO_RECOVERY,4,17,30,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000546.saturation.yaml
AW-000547,Naive solution,SATURATED_NO_RECOVERY,3,17,18,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000547.saturation.yaml
AW-000548,Flajolet–Martin algorithm,RECOVERED_CONTEXT_AND_PROBE,2,11,28,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000548.saturation.yaml
AW-000549,LogLog algorithm,SATURATED_NO_RECOVERY,3,17,21,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000549.saturation.yaml
AW-000553,Chow's Algorithm,SATURATED_NO_RECOVERY,4,17,25,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000553.saturation.yaml
AW-000554,"Linear Scan, Poletto & Sarkar",SATURATED_NO_RECOVERY,4,17,24,3,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000554.saturation.yaml
AW-000555,"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",SATURATED_NO_RECOVERY,3,17,17,0,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000555.saturation.yaml
AW-000556,Kong and Wilken Algorithm,SATURATED_NO_RECOVERY,4,17,21,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000556.saturation.yaml
AW-000559,Naïve algorithm,SATURATED_NO_RECOVERY,4,17,29,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000559.saturation.yaml
AW-000560,Two-pass algorithm,SATURATED_NO_RECOVERY,3,17,21,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000560.saturation.yaml
AW-000561,Welford's Online algorithm,RECOVERED_CONTEXT_AND_PROBE,2,11,25,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000561.saturation.yaml
AW-000562,Weighted incremental algorithm,SATURATED_NO_RECOVERY,4,17,24,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000562.saturation.yaml
