algorithm_id,algorithm_name,source_public_context_path,source_public_probe_path,source_metadata_path,existing_input_model,existing_access_model,existing_output_contract,detected_opportunity_type,evidence_text,source_records_used,why_probe_is_justified,why_probe_is_not_justified,required_introduced_assumptions,risk_of_overgeneration,decision,source_card_type,confidence_score,source_count,source_quality,opportunity_score
AW-000017,MotifSampler,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000017.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000017.meta.yaml,explicit_string_problem,random_access_string,full_solution,none,"MotifSampler MotifSampler is included as a named whole-algorithm context card for a classical string task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: One or more finite strings, sequences, patterns, or alphabets. Output semantics: The requested string matching, alignment, indexing, distance, or transformation result. Classical algorithm summary: MotifSampler is a string algorithm record. Classical complexity metadata: time O(nm); space O(n + m). The stated classical model is Word RAM. Public metadata/source text adds: MotifSampler unknown unknown n: number of sequences, m: length of sequences O(nm) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time O(nm); space O(n + m); computation model Word RAM. Dominant bottleneck: string sca",AW-000017:algorithm_wiki_metadata; source:3733050a6e0fc191,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,65,2,HIGH,0
AW-000018,tree-structured vector quantization Wei-Levoy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000018.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000018.meta.yaml,explicit_image_processing_problem,explicit_input_instance,full_solution,none,"tree-structured vector quantization Wei-Levoy tree-structured vector quantization Wei-Levoy is included as a named whole-algorithm context card for a classical image processing task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: An image, grid, point cloud, or signal representation with local or hierarchical processing parameters. Output semantics: A transformed image, segmentation, quantization, feature set, or detected structure. Classical algorithm summary: tree-structured vector quantization Wei-Levoy is a image processing algorithm record. Classical complexity metadata: time O(n^2 \log n); space O(nd). The stated classical model is TSVQ Tree. Public metadata/source text adds: tree-structured vector quantization Wei-Levoy image_processing image_processing n: number of pixels in input image, d: neighborhood ",AW-000018:algorithm_wiki_metadata; crossref:2ad5350d62e3e894; failed:c8e94cad5a566d15,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,3,HIGH,0
AW-000019,"Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000019.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000019.meta.yaml,explicit_image_processing_problem,explicit_input_instance,full_solution,none,"Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf is included as a named whole-algorithm context card for a classical image processing task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: An image, grid, point cloud, or signal representation with local or hierarchical processing parameters. Output semantics: A transformed image, segmentation, quantization, feature set, or detected structure. Classical algorithm summary: Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf is a image processing algorithm record. Classical complexity metadata: time O(N); space O(N). Public metadata/source text adds: Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf image_processing image_processing N: number of pixels in outp",AW-000019:algorithm_wiki_metadata; arxiv:1705.06566; source:7a69b88a8d17408c,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,3,HIGH,0
AW-000020,Grigoryan,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000020.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000020.meta.yaml,explicit_combinatorial_problem,explicit_input_instance,one_witness,quantum_counting,"Grigoryan Grigoryan is included as a named whole-algorithm context card for a classical combinatorics task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite combinatorial object, integer set, board, recurrence, or witness-search instance. Output semantics: A count, witness, construction, ordering, subset, cycle, or other finite combinatorial output. Classical algorithm summary: Grigoryan is a combinatorics algorithm record. Classical complexity metadata: time O(n); space O(n). Public metadata/source text adds: Grigoryan unknown unknown n: dimension of board, k: number of queens O(n) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time O(n); space O(n); computation model not stated. Dominant bottleneck: dominant bottleneck remain",AW-000020:algorithm_wiki_metadata; arxiv:1912.05935; source:4c1c5da8d55f8915,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,medium,GENERATE_REGISTRY_V1_PROBE,context,75,3,HIGH,6
AW-000021,Sedgewick Szymanski and Yao,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000021.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000021.meta.yaml,explicit_graph_problem,random_access_string,path_or_tree,none,"Sedgewick Szymanski and Yao Sedgewick Szymanski and Yao is included as a named whole-algorithm context card for a classical graph task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: An iterated function or sequence representation with parameters for the preperiod and cycle length. Output semantics: The graph-specific object requested by the named problem, such as a path, tree, matching, flow, component labeling, or traversal result. Classical algorithm summary: Sedgewick Szymanski and Yao is a graph algorithm record. Classical complexity metadata: time (\mu + \lambda)(1+\Theta(1/\sqrt{M})); space M. Public metadata/source text adds: Sedgewick Szymanski and Yao unknown unknown \mu: first index of element in cycle, \lambda: period, M: number of memory cells available (\mu + \lambda)(1+\Theta(1/\sqrt{M})) No publi",AW-000021:algorithm_wiki_metadata; crossref:de04ee6ed00d1944; failed:2de0182482f02a4f,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,65,3,HIGH,0
AW-000022,Nivasch,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000022.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000022.meta.yaml,explicit_combinatorial_problem,random_access_string,one_witness,quantum_counting,"Nivasch Nivasch is included as a named whole-algorithm context card for a classical combinatorics task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: An iterated function or sequence representation with parameters for the preperiod and cycle length. Output semantics: A count, witness, construction, ordering, subset, cycle, or other finite combinatorial output. Classical algorithm summary: Nivasch is a combinatorics algorithm record. Classical complexity metadata: time O(\mu + \lambda); space O(\log\mu). The stated classical model is not mentioned. Public metadata/source text adds: Nivasch unknown unknown \mu: index of first element in cycle, \lambda: cycle length O(\mu + \lambda) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time O(",AW-000022:algorithm_wiki_metadata; source:a7c350166579a214,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,low,GENERATE_REGISTRY_V1_PROBE,context,65,2,HIGH,4
AW-000023,Insertion Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000023.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000023.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Insertion Sort Insertion Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Insertion Sort is a sorting algorithm record. Classical complexity metadata: time O(n^2); space O(1). The stated classical model is Word RAM. Public metadata/source text adds: Insertion Sort sorting sorting n: size of list O(n^2) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise ",AW-000023:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000024,Selection Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000024.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000024.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Selection Sort Selection Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Selection Sort is a sorting algorithm record. Classical complexity metadata: time O(n^2); space O(1). The stated classical model is Word RAM. Public metadata/source text adds: Selection Sort sorting sorting n: size of list O(n^2) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise ",AW-000024:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000025,Merge Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000025.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000025.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Merge Sort Merge Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Merge Sort is a sorting algorithm record. Classical complexity metadata: time O(n \log n); space O(n). The stated classical model is Word RAM. Public metadata/source text adds: Merge Sort sorting sorting n: size of list O(n \log n) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise reorde",AW-000025:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000026,Bubble Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000026.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000026.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Bubble Sort Bubble Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Bubble Sort is a sorting algorithm record. Classical complexity metadata: time O(n^2); space O(1). The stated classical model is Word RAM. Public metadata/source text adds: Bubble Sort sorting sorting n: size of list O(n^2) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise reorder reco",AW-000026:algorithm_wiki_metadata; wikipedia:a31c3ef01f0fc2af,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,2,HIGH,0
AW-000027,Intro Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000027.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000027.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Intro Sort Intro Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Intro Sort is a sorting algorithm record. Classical complexity metadata: time O(n \log n); space O(\log n). The stated classical model is Word RAM. Public metadata/source text adds: Intro Sort sorting sorting n: size of list O(n \log n) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise r",AW-000027:algorithm_wiki_metadata; failed:9c3d4b42f1ce6b3c; failed:b6a9914d44289210,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,3,HIGH,0
AW-000028,Heap Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000028.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000028.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Heap Sort Heap Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Heap Sort is a sorting algorithm record. Classical complexity metadata: time O(n \log n); space O(1). The stated classical model is Word RAM. Public metadata/source text adds: Heap Sort sorting sorting n: size of list O(n \log n) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise reorder re",AW-000028:algorithm_wiki_metadata; source:56addd42a58ed5b8,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,2,HIGH,0
AW-000029,Counting Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000029.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000029.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Counting Sort Counting Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Counting Sort is a sorting algorithm record. Classical complexity metadata: time O(n+k); space O(n+k). The stated classical model is Word RAM. Public metadata/source text adds: Counting Sort sorting sorting n: size of list, k: range of non-negative key values O(n+k) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merg",AW-000029:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000030,Bucket Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000030.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000030.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Bucket Sort Bucket Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Bucket Sort is a sorting algorithm record. Classical complexity metadata: time O(n^2); space O(n). The stated classical model is Word RAM. Public metadata/source text adds: Bucket Sort sorting sorting n: size of list O(n^2) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwise reorder reco",AW-000030:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000031,Radix Sort,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000031.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000031.meta.yaml,explicit_sequence_problem,random_access_array,full_sequence_output,none,"Radix Sort Radix Sort is included as a named whole-algorithm context card for a classical sorting task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite array or list of comparable keys or records. Output semantics: The same items returned in nondecreasing order, usually as a full reordered sequence. Classical algorithm summary: Radix Sort is a sorting algorithm record. Classical complexity metadata: time O(wn); space O(w+n). The stated classical model is Word RAM. Public metadata/source text adds: Radix Sort sorting sorting n: size of list, w: length of word O(wn) Given a finite sequence of comparable keys or records, produce the same items in nondecreasing order under the stated classical input model. Classical steps or pseudocode-level structure: Compare, partition, merge, count, distribute, or otherwi",AW-000031:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
