global_task_id,dataset,subset,kind,card_id,parent_algorithm_id,algorithm_name,input_path,metadata_path,evidence_path,manifest_path,target_registry_primitive,expected_claim_boundary,reasoning_effort,timeout,priority,shard_id,output_dir,status,notes
FDV1-00011,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000078-RV1-BTS0001,AW-000078,Naïve string-search algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000078-RV1-BTS0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000078-RV1-BTS0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000078-RV1-BTS0001.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=11; shard_size=50
FDV1-00012,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000098-RV1-MIN0002,AW-000098,Horowitz and Sahni,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000098-RV1-MIN0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000098-RV1-MIN0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000098-RV1-MIN0002.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_minimum_finding,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=12; shard_size=50
FDV1-00013,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000101-RV1-CNT0008,AW-000101,Koiliaris and Xu,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000101-RV1-CNT0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000101-RV1-CNT0008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000101-RV1-CNT0008.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=14; shard_size=50
FDV1-00014,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000101-RV1-MVW0003,AW-000101,Koiliaris and Xu,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000101-RV1-MVW0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000101-RV1-MVW0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000101-RV1-MVW0003.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_walk_marked_vertex_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=13; shard_size=50
FDV1-00015,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000424-RV1-BTS0002,AW-000424,Two-way String-Matching Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000424-RV1-BTS0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000424-RV1-BTS0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000424-RV1-BTS0002.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=15; shard_size=50
FDV1-00016,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000425-RV1-BTS0003,AW-000425,String-Matching with Finite Automata,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000425-RV1-BTS0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000425-RV1-BTS0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000425-RV1-BTS0003.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=16; shard_size=50
FDV1-00017,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000429-RV1-BTS0004,AW-000429,Commentz-Walter Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000429-RV1-BTS0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000429-RV1-BTS0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000429-RV1-BTS0004.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=17; shard_size=50
FDV1-00018,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000436-RV1-BTS0005,AW-000436,Basic Local Alignment Search Tool (BLAST),corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000436-RV1-BTS0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000436-RV1-BTS0005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000436-RV1-BTS0005.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=18; shard_size=50
FDV1-00019,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000458-RV1-CNT0009,AW-000458,Gosper's algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000458-RV1-CNT0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000458-RV1-CNT0009.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000458-RV1-CNT0009.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=19; shard_size=50
FDV1-00020,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000460-RV1-CNT0010,AW-000460,Durstenfeld's Algorithm 235,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000460-RV1-CNT0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000460-RV1-CNT0010.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000460-RV1-CNT0010.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=20; shard_size=50
FDV1-00021,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000476-RV1-MIN0003,AW-000476,Yao,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000476-RV1-MIN0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000476-RV1-MIN0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000476-RV1-MIN0003.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_minimum_finding,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=21; shard_size=50
FDV1-00022,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000550-RV1-CNT0011,AW-000550,HyperLogLog algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000550-RV1-CNT0011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000550-RV1-CNT0011.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000550-RV1-CNT0011.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=22; shard_size=50
FDV1-00023,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000551-RV1-CNT0012,AW-000551,HyperLogLog++,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000551-RV1-CNT0012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000551-RV1-CNT0012.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000551-RV1-CNT0012.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=23; shard_size=50
FDV1-00024,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000705-RV1-BTS0006,AW-000705,Ravikumar & Cohen Generative Models,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000705-RV1-BTS0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000705-RV1-BTS0006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000705-RV1-BTS0006.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=24; shard_size=50
FDV1-00025,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000705-RV1-MVW0004,AW-000705,Ravikumar & Cohen Generative Models,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000705-RV1-MVW0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000705-RV1-MVW0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000705-RV1-MVW0004.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_walk_marked_vertex_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=25; shard_size=50
FDV1-00026,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000706-RV1-BTS0007,AW-000706,Bellare Active Learning,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000706-RV1-BTS0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000706-RV1-BTS0007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000706-RV1-BTS0007.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=26; shard_size=50
FDV1-00027,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000773-RV1-MIN0004,AW-000773,Ocone,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000773-RV1-MIN0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000773-RV1-MIN0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000773-RV1-MIN0004.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_minimum_finding,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=27; shard_size=50
FDV1-00028,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000788-RV1-BTS0008,AW-000788,Randomized HITS,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000788-RV1-BTS0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000788-RV1-BTS0008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000788-RV1-BTS0008.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_backtracking_tree_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=28; shard_size=50
FDV1-00029,algorithm_wiki,public_probe_v1,probe,AW-000001-P0001,AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000001-P0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000001-P0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000001-P0001.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=1; shard_size=50
FDV1-00030,algorithm_wiki,public_probe_v1,probe,AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0002.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=2; shard_size=50
FDV1-00031,algorithm_wiki,public_probe_v1,probe,AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0003.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=3; shard_size=50
FDV1-00032,algorithm_wiki,public_probe_v1,probe,AW-000006-P0004,AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000006-P0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000006-P0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000006-P0004.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=4; shard_size=50
FDV1-00033,algorithm_wiki,public_probe_v1,probe,AW-000007-P0005,AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000007-P0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000007-P0005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000007-P0005.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=5; shard_size=50
FDV1-00034,algorithm_wiki,public_probe_v1,probe,AW-000008-P0006,AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000008-P0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000008-P0006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000008-P0006.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=6; shard_size=50
FDV1-00035,algorithm_wiki,public_probe_v1,probe,AW-000011-P0007,AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000011-P0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000011-P0007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000011-P0007.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\manifests\ready_public_probe.csv,,query_or_subroutine_hypothesis,high,180,high,fdv1_public_probe_v1_001,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,READY,source_manifest_row=7; shard_size=50
